category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_pvalue_corrected
GO:0007189	0.000558740670922943	0.999754605865503	29	138	adenylate cyclase-activating G protein-coupled receptor signaling pathway	BP	0.599377100000616
GO:0097060	0.000571379504290387	0.999627069104219	109	385	synaptic membrane	CC	0.599377100000616
GO:0098797	0.00103861183911046	0.999290792126598	113	563	plasma membrane protein complex	CC	0.726335879484583
GO:0035254	0.00174865106155367	0.999451406856679	15	42	glutamate receptor binding	MF	0.732616222815943
GO:0004222	0.00179843240366217	0.999175668867157	27	117	metalloendopeptidase activity	MF	0.732616222815943
GO:0008237	0.00209518462197124	0.998868007240898	40	188	metallopeptidase activity	MF	0.732616222815943
GO:0042734	0.00267773855132753	0.998486553939213	48	163	presynaptic membrane	CC	0.736552286493794
GO:0045296	0.00347464666877084	0.997803709907424	63	308	cadherin binding	MF	0.736552286493794
GO:0052652	0.00378952079377754	0.998773121504243	14	37	cyclic purine nucleotide metabolic process	BP	0.736552286493794
GO:0009187	0.00409147494706355	0.998654254232255	14	38	cyclic nucleotide metabolic process	BP	0.736552286493794
GO:0045824	0.00417906194888089	0.998668973465055	11	77	negative regulation of innate immune response	BP	0.736552286493794
GO:0045211	0.00421288247756221	0.997226532744698	80	273	postsynaptic membrane	CC	0.736552286493794
GO:0034702	0.00488470099001262	0.996804562106999	71	293	ion channel complex	CC	0.740099412192817
GO:0099095	0.005880250004736	0.998591166590587	10	19	ligand-gated monoatomic anion channel activity	MF	0.740099412192817
GO:0098660	0.00605964391914298	0.995419962291229	143	878	inorganic ion transmembrane transport	BP	0.740099412192817
GO:0034220	0.00624870526212379	0.995200134140067	161	978	monoatomic ion transmembrane transport	BP	0.740099412192817
GO:1902495	0.007582531653126	0.994829818669503	75	376	transmembrane transporter complex	CC	0.740099412192817
GO:0060079	0.00799078963243928	0.99567362405843	32	124	excitatory postsynaptic potential	BP	0.740099412192817
GO:0007188	0.00836802022313587	0.994984306426777	41	232	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP	0.740099412192817
GO:0098655	0.00843610790714857	0.993616430939456	133	811	monoatomic cation transmembrane transport	BP	0.740099412192817
GO:0004114	0.00847804695111976	0.99753801792996	11	24	3',5'-cyclic-nucleotide phosphodiesterase activity	MF	0.740099412192817
GO:0030594	0.00881205834172277	0.99545174498021	28	98	neurotransmitter receptor activity	MF	0.740099412192817
GO:0046928	0.00963036239114654	0.995547977275209	20	79	regulation of neurotransmitter secretion	BP	0.740099412192817
GO:0031348	0.00990792184963497	0.994585905659526	27	272	negative regulation of defense response	BP	0.740099412192817
