category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_pvalue_corrected
GO:0003810	1.58162674647759e-05	0.99999986469875	3	9	protein-glutamine gamma-glutamyltransferase activity	MF	0.00234080758478683
GO:0016755	0.000110917450063216	0.999997871242316	3	17	aminoacyltransferase activity	MF	0.00820789130467801
GO:0140013	0.00127043210622592	0.999802770952685	6	176	meiotic nuclear division	BP	0.062674650573812
GO:0018149	0.00200053784100314	0.999888563388093	3	34	peptide cross-linking	BP	0.0652597474753318
GO:1903046	0.00220472119849094	0.999617799558058	6	195	meiotic cell cycle process	BP	0.0652597474753318
GO:0007052	0.00337956080446968	0.999484176562113	5	124	mitotic spindle organization	BP	0.0833624998435854
GO:0051445	0.00730406233977242	0.999336827619844	3	62	regulation of meiotic cell cycle	BP	0.10042211339053
GO:2000241	0.00805119814318122	0.998478476126473	5	199	regulation of reproductive process	BP	0.10042211339053
GO:0051321	0.00849583566181215	0.998051281980314	6	262	meiotic cell cycle	BP	0.10042211339053
GO:0009994	0.0089239098303601	0.999133912150839	3	52	oocyte differentiation	BP	0.10042211339053
GO:1902850	0.00896362850193599	0.998267835242298	5	155	microtubule cytoskeleton organization involved in mitosis	BP	0.10042211339053
GO:0001954	0.00912039139249061	0.99910594048569	3	55	positive regulation of cell-matrix adhesion	BP	0.10042211339053
GO:0006360	0.0101549890163733	0.998964000699792	3	56	transcription by RNA polymerase I	BP	0.10042211339053
GO:0000377	0.0104227159012439	0.997500165458212	6	295	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	BP	0.10042211339053
GO:0000398	0.0104227159012439	0.997500165458212	6	295	mRNA splicing, via spliceosome	BP	0.10042211339053
GO:0000375	0.0109262017445398	0.997352480883345	6	299	RNA splicing, via transesterification reactions	BP	0.10042211339053
GO:0098636	0.0115349724840474	0.998766145394045	3	57	protein complex involved in cell adhesion	CC	0.10042211339053
GO:0051495	0.0132180646098403	0.997183479580257	5	183	positive regulation of cytoskeleton organization	BP	0.108681864569798
GO:0005938	0.0142716853134254	0.995872621349285	7	282	cell cortex	CC	0.109601716249162
GO:0050684	0.0148110427363732	0.997434860938607	4	137	regulation of mRNA processing	BP	0.109601716249162
GO:0005604	0.0157712381517798	0.997246595449814	4	83	basement membrane	CC	0.11114967840302
GO:0044272	0.0175220154155855	0.996806297207413	4	149	sulfur compound biosynthetic process	BP	0.115150516884845
GO:0072332	0.0178950127591314	0.997724920781585	3	81	intrinsic apoptotic signaling pathway by p53 class mediator	BP	0.115150516884845
GO:0007051	0.0195865447748301	0.995392235330374	5	189	spindle organization	BP	0.120783692778119
