category	hit_normal	hit_disease	total_normal	total_disease	numDE_normal	numDE_disease	numInCat	p_normal	p_disease	term	ontology	corrected_p_normal	corrected_p_disease	p_permutation	corrected_p_permutation
GO:0008528	10	17	724	2928	10	11	139	0.000785960508108742	0.305764967874745	G protein-coupled peptide receptor activity	MF	0.0148070624443567	0.313811414397765	0	0
GO:0016339	14	39	724	2928	11	16	47	0.00105790387583787	0.0195418871778861	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	BP	0.0148070624443567	0.0304853439975023	0	0
GO:0001653	10	18	724	2928	10	12	145	0.00113900480341205	0.253229383899712	peptide receptor activity	MF	0.0148070624443567	0.266917458705102	0	0
GO:0071805	29	80	724	2928	23	42	216	0.00301500472607266	0.0700044738401428	potassium ion transmembrane transport	BP	0.0213532297613128	0.0884807808525396	0.02	0.0339130434782609
GO:0005249	15	26	724	2928	12	19	87	0.00314861360178669	0.0604028188354547	voltage-gated potassium channel activity	MF	0.0213532297613128	0.0872485160956567	0	0
GO:0006813	29	82	724	2928	23	44	240	0.00519765313723144	0.0748683530290719	potassium ion transport	BP	0.0213532297613128	0.0884807808525396	0.05	0.08125
GO:0022890	45	139	724	2928	40	86	527	0.0052417309608186	0.0980120911126207	inorganic cation transmembrane transporter activity	MF	0.0213532297613128	0.1124256339233	0.39	0.52448275862069
GO:0098797	55	229	724	2928	46	113	563	0.00613367243189459	0.00103861183911046	plasma membrane protein complex	CC	0.0213532297613128	0.013501953908436	0.62	0.646578947368421
GO:0005267	18	47	724	2928	15	26	120	0.0063099487722115	0.0733405281396378	potassium channel activity	MF	0.0213532297613128	0.0884807808525396	0	0
GO:0005244	25	63	724	2928	21	40	187	0.00706191774307146	0.0731546911350348	voltage-gated monoatomic ion channel activity	MF	0.0213532297613128	0.0884807808525396	0.01	0.0195
GO:0022832	25	63	724	2928	21	40	187	0.00706191774307146	0.0731546911350348	voltage-gated channel activity	MF	0.0213532297613128	0.0884807808525396	0.01	0.0195
GO:0008324	45	141	724	2928	40	90	558	0.00731897114992829	0.0627406189314628	monoatomic cation transmembrane transporter activity	MF	0.0213532297613128	0.087388719225966	0.38	0.52448275862069
GO:0031256	24	61	724	2928	19	30	175	0.00763696355142997	0.420482485286507	leading edge membrane	CC	0.0213532297613128	0.420482485286507	0	0
GO:0032589	15	46	724	2928	11	18	59	0.00766526196559948	0.0505542114850471	neuron projection membrane	CC	0.0213532297613128	0.0758313172275706	0	0
GO:0043025	45	156	724	2928	40	81	490	0.0090538332382137	0.238700635731935	neuronal cell body	CC	0.023087885975792	0.258592355376263	0.22	0.3432
GO:1901379	15	42	724	2928	12	19	93	0.00947195322083775	0.136711284282529	regulation of potassium ion transmembrane transport	BP	0.023087885975792	0.152335431057675	0	0
GO:0007189	5	58	724	2928	5	29	138	0.614626121030728	0.000558740670922943	adenylate cyclase-activating G protein-coupled receptor signaling pathway	BP	0.705012315299952	0.0111419003336625	0	0
GO:0097060	50	266	724	2928	41	109	385	0.0602115077995569	0.000571379504290387	synaptic membrane	CC	0.117412440209136	0.0111419003336625	0.55	0.646578947368421
GO:0035254	3	21	724	2928	3	15	42	0.420784886280733	0.00174865106155367	glutamate receptor binding	MF	0.512831580154644	0.013618700042813	0	0
GO:0004222	6	35	724	2928	6	27	117	0.41341876404305	0.00179843240366217	metalloendopeptidase activity	MF	0.512831580154644	0.013618700042813	0	0
GO:0008237	9	56	724	2928	9	40	188	0.517287196838067	0.00209518462197124	metallopeptidase activity	MF	0.611339414444989	0.013618700042813	0	0
GO:0042734	18	124	724	2928	15	48	163	0.262944461570708	0.00267773855132753	presynaptic membrane	CC	0.394416692356062	0.0136918680520772	0.41	0.533
GO:0045296	25	116	724	2928	20	63	308	0.172644366809381	0.00347464666877084	cadherin binding	MF	0.280547096065245	0.0136918680520772	0.53	0.646578947368421
GO:0052652	2	28	724	2928	2	14	37	0.713643055541782	0.00378952079377754	cyclic purine nucleotide metabolic process	BP	0.769665359733414	0.0136918680520772	0	0
GO:0009187	2	28	724	2928	2	14	38	0.715056175331666	0.00409147494706355	cyclic nucleotide metabolic process	BP	0.769665359733414	0.0136918680520772	0	0
GO:0045824	1	13	724	2928	1	11	77	0.730195341285547	0.00417906194888089	negative regulation of innate immune response	BP	0.769665359733414	0.0136918680520772	0	0
GO:0045211	38	176	724	2928	31	80	273	0.0918198678354026	0.00421288247756221	postsynaptic membrane	CC	0.162771583890032	0.0136918680520772	0.71	0.71
GO:0034702	30	144	724	2928	26	71	293	0.109880554471314	0.00488470099001262	ion channel complex	CC	0.186319201060055	0.0146541029700379	0.61	0.646578947368421
GO:0099095	1	20	724	2928	1	10	19	0.826731913535804	0.005880250004736	ligand-gated monoatomic anion channel activity	MF	0.848488016523588	0.0152312190764267	0	0
GO:0098660	63	243	724	2928	54	143	878	0.023658654849606	0.00605964391914298	inorganic ion transmembrane transport	BP	0.051260418840813	0.0152312190764267	0.62	0.646578947368421
GO:0034220	69	274	724	2928	60	161	978	0.032383356596349	0.00624870526212379	monoatomic ion transmembrane transport	BP	0.0664711003819794	0.0152312190764267	0.61	0.646578947368421
GO:1902495	32	148	724	2928	28	75	376	0.082468112484028	0.007582531653126	transmembrane transporter complex	CC	0.153155066041766	0.0156213761512358	0.54	0.646578947368421
GO:0060079	11	65	724	2928	10	32	124	0.273449052203684	0.00799078963243928	excitatory postsynaptic potential	BP	0.39498196429421	0.0156213761512358	0.29	0.435
GO:0007188	12	82	724	2928	11	41	232	0.391082333003012	0.00836802022313587	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP	0.512831580154644	0.0156213761512358	0.33	0.476666666666667
GO:0098655	62	223	724	2928	53	133	811	0.0101796077398523	0.00843610790714857	monoatomic cation transmembrane transport	BP	0.0233532177561317	0.0156213761512358	0.63	0.646578947368421
GO:0004114	3	22	724	2928	3	11	24	0.318423510055356	0.00847804695111976	3',5'-cyclic-nucleotide phosphodiesterase activity	MF	0.443518460434246	0.0156213761512358	0	0
GO:0030594	9	52	724	2928	8	28	98	0.398424655241775	0.00881205834172277	neurotransmitter receptor activity	MF	0.512831580154644	0.0156213761512358	0.02	0.0339130434782609
