category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_pvalue_corrected
GO:0008528	0.000785960508108742	0.999808304836472	10	139	G protein-coupled peptide receptor activity	MF	0.272601816283284
GO:0016339	0.00105790387583787	0.999732819290317	11	47	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	BP	0.272601816283284
GO:0001653	0.00113900480341205	0.99970783362022	10	145	peptide receptor activity	MF	0.272601816283284
GO:0071805	0.00301500472607266	0.998606126702542	23	216	potassium ion transmembrane transport	BP	0.393118435092888
GO:0005249	0.00314861360178669	0.998978014582236	12	87	voltage-gated potassium channel activity	MF	0.393118435092888
GO:0006813	0.00519765313723144	0.997476263897107	23	240	potassium ion transport	BP	0.393118435092888
GO:0022890	0.0052417309608186	0.996924924325015	40	527	inorganic cation transmembrane transporter activity	MF	0.393118435092888
GO:0098797	0.00613367243189459	0.996237691218024	46	563	plasma membrane protein complex	CC	0.393118435092888
GO:0005267	0.0063099487722115	0.997451619508013	15	120	potassium channel activity	MF	0.393118435092888
GO:0005244	0.00706191774307146	0.996619620480183	21	187	voltage-gated monoatomic ion channel activity	MF	0.393118435092888
GO:0022832	0.00706191774307146	0.996619620480183	21	187	voltage-gated channel activity	MF	0.393118435092888
GO:0008324	0.00731897114992829	0.9956113629027	40	558	monoatomic cation transmembrane transporter activity	MF	0.393118435092888
GO:0031256	0.00763696355142997	0.996462649004734	19	175	leading edge membrane	CC	0.393118435092888
GO:0032589	0.00766526196559948	0.997410906158463	11	59	neuron projection membrane	CC	0.393118435092888
GO:0043025	0.0090538332382137	0.994508465972019	40	490	neuronal cell body	CC	0.425053900785094
GO:1901379	0.00947195322083775	0.996440409259923	12	93	regulation of potassium ion transmembrane transport	BP	0.425053900785094
GO:0098655	0.0101796077398523	0.993340125546147	53	811	monoatomic cation transmembrane transport	BP	0.429938726894938
GO:0098662	0.0118206503867269	0.992261607339001	51	790	inorganic cation transmembrane transport	BP	0.46387093245499
GO:0034332	0.0141167880139241	0.995058411264054	10	56	adherens junction organization	BP	0.46387093245499
GO:0043266	0.0146054735660138	0.994137815804695	12	107	regulation of potassium ion transport	BP	0.46387093245499
GO:0098839	0.0150005129245054	0.992757014359642	19	100	postsynaptic density membrane	CC	0.46387093245499
GO:0044297	0.0151911516437411	0.990341538041306	42	556	cell body	CC	0.46387093245499
GO:0022843	0.0187783196754183	0.991104491571306	16	138	voltage-gated monoatomic cation channel activity	MF	0.46387093245499
GO:0003407	0.0187825403900662	0.992969842416734	10	77	neural retina development	BP	0.46387093245499
GO:0015318	0.0192535432598678	0.987479312482374	43	634	inorganic molecular entity transmembrane transporter activity	MF	0.46387093245499
GO:0070848	0.0205483578062207	0.986903233119014	38	732	response to growth factor	BP	0.46387093245499
GO:0046873	0.0212068619662051	0.986881412539807	34	431	metal ion transmembrane transporter activity	MF	0.46387093245499
GO:0015081	0.021265757511346	0.990255379251647	14	155	sodium ion transmembrane transporter activity	MF	0.46387093245499
GO:0098794	0.0225580086226097	0.984304493952243	59	646	postsynapse	CC	0.46387093245499
GO:0015075	0.0230036139991987	0.9847129875725	45	673	monoatomic ion transmembrane transporter activity	MF	0.46387093245499
GO:0015079	0.0230802585019192	0.988744061404388	16	156	potassium ion transmembrane transporter activity	MF	0.46387093245499
GO:0007265	0.0234050502282321	0.986719198479209	24	326	Ras protein signal transduction	BP	0.46387093245499
