Func.refGene	Group	Count	Total	Prop	LowCI	HighCI	Normalized_Prop	Normalized_LowCI	Normalized_HighCI	Count1	SE1
intergenic	Normoxia	955	1630	0.585889570552147	0.561494052746752	0.609876029528553	1.0279305411726	0.98512913442243	1.07001426308148	75.8988172572768	8.27207540205107
upstream	Normoxia	3	1630	0.00184049079754601	0.000475452539731654	0.00584916081831195	0.307774380860537	0.0795071136675006	0.978120538179255	0.238425603949561	0.025985577179218
5' UTR	Normoxia	3	1630	0.00184049079754601	0.000475452539731654	0.00584916081831195	1.19125617964143	0.307736271670973	3.78586460732165	0.238425603949561	0.025985577179218
exonic	Normoxia	10	1630	0.00613496932515337	0.00312057040193965	0.0116512027395675	1.01825217014994	0.517936996172556	1.93380958333071	0.794752013165202	0.0866185905973934
3' UTR	Normoxia	17	1630	0.0104294478527607	0.00628590232666976	0.017014413857845	1.5049708301242	0.907056612795059	2.45518237486941	1.35107842238084	0.147251604015569
downstream	Normoxia	13	1630	0.00797546012269939	0.00444081746038136	0.0139823678693541	1.27098966098795	0.707699993686272	2.22826579591301	1.03317761711476	0.112604167776612
splice site	Normoxia	1	1630	0.000613496932515337	3.2025460904529e-05	0.00397479088397976	17.5284837861525	0.915013168700828	113.565453827993	0.0794752013165202	0.00866185905973935
intronic	Normoxia	507	1630	0.311042944785276	0.288736316321201	0.334250229848787	0.899592042993047	0.835077268397736	0.966711678183674	40.2939270674758	4.39156254328785
intergenic	Hypoxia	1128	1963	0.574630667345899	0.55237904183936	0.596587377210054	1.00817703974928	0.969137045527589	1.04669961087435	83.9875054685111	9.78128438803006
upstream	Hypoxia	11	1963	0.00560366785532348	0.00294986167302726	0.0103315518908476	0.937068203231352	0.493287905188504	1.72768426268355	0.819027092334771	0.0953848654861088
5' UTR	Hypoxia	1	1963	0.000509424350483953	2.65925987185496e-05	0.00330190541918657	0.329724498695115	0.0172120380055337	2.13715561112399	0.0744570083940701	0.00867135140782807
exonic	Hypoxia	13	1963	0.00662251655629139	0.0036867404125447	0.0116175493530404	1.09917287241351	0.611907122414058	1.92822395901086	0.967941109122912	0.112727568301765
3' UTR	Hypoxia	17	1963	0.0086602139582272	0.00521826174199386	0.0141374681353337	1.24967012384231	0.752995922365636	2.04003869196734	1.26576914269919	0.147412973933077
downstream	Hypoxia	12	1963	0.00611309220580744	0.00331543460128586	0.010977104856401	0.974197961084851	0.528356111758703	1.74933941934678	0.893484100728842	0.104056216893937
splice site	Hypoxia	0	1963	0	0	0.00243494734848036	0	0	69.5699242422961	0	0
intronic	Hypoxia	627	1963	0.319409067753439	0.298903547363648	0.340628718069627	0.923788372725123	0.864482726063303	0.985159411353619	46.684544263082	5.4369373327082
intergenic	germline_mutation	113994	200000	0.56997	0.56779643114736	0.57214087793863	1	0.996186520601715	1.00380875824803	0	0
upstream	germline_mutation	1196	200000	0.00598	0.00564903428245634	0.00633008327900222	1	0.944654562283669	1.0585423543482	0	0
5' UTR	germline_mutation	309	200000	0.001545	0.00137981635049331	0.00172960888795931	1	0.893085016500524	1.11948795337172	0	0
exonic	germline_mutation	1205	200000	0.006025	0.0056927723997959	0.00637634289877136	1	0.944858489592681	1.05831417406994	0	0
3' UTR	germline_mutation	1386	200000	0.00693	0.00657334433825337	0.00730572657426234	1	0.948534536544497	1.05421739888346	0	0
downstream	germline_mutation	1255	200000	0.006275	0.00593584763340672	0.0066332551982533	1	0.94595181408872	1.05709246187304	0	0
splice site	germline_mutation	7	200000	3.5e-05	1.53368284669671e-05	7.56061692393759e-05	1	0.438195099056204	2.16017626398217	0	0
intronic	germline_mutation	69152	200000	0.34576	0.343676045833186	0.347849886225196	1	0.993972830382883	1.00604432619504	0	0
