ExonicFunc.refGene	Group	Count	Total	Prop	LowCI	HighCI	Normalized_Prop	Normalized_LowCI	Normalized_HighCI	Count1	SE1
nonsynonymous	Normoxia	7	10	0.7	0.353670723511169	0.919052175790006	1.51890658942795	0.767418274898379	1.99422057976505	0.556326409215642	0.0606330134181754
synonymous	Normoxia	2	10	0.2	0.0354269437473664	0.55781857572145	0.386984355398126	0.0685483649490011	1.07933530977333	0.15895040263304	0.0173237181194787
stopgain	Normoxia	1	10	0.1	0.00524230156967773	0.458846016156656	29.8379800853485	1.56419689837435	136.910382923238	0.0794752013165202	0.00866185905973934
stoploss	Normoxia	0	10	0	0	0.344537218306922	0	0	681.79690046489	0	0
nonsynonymous	Hypoxia	12	13	0.923076923076923	0.620879862197486	0.995971442784064	2.00295374430059	1.3472264484784	2.16112512475254	0.893484100728842	0.104056216893937
synonymous	Hypoxia	1	13	0.0769230769230769	0.00402855721593624	0.379120137802514	0.148840136691587	0.00779494308696776	0.733567810729772	0.0744570083940701	0.00867135140782807
stopgain	Hypoxia	0	13	0	0	0.283444094187939	0	0	84.5739923768937	0	0
stoploss	Hypoxia	0	13	0	0	0.283444094187939	0	0	560.90110038638	0	0
nonsynonymous	germline_mutation	96670	209761	0.460857833439009	0.458723039500727	0.462994062613436	1	0.995367782028675	1.00463533224224	0	0
synonymous	germline_mutation	108408	209761	0.516816758119956	0.514675582351351	0.518957317265778	1	0.995856992376963	1.00414181450619	0	0
stopgain	germline_mutation	703	209761	0.00335143329789618	0.00311074029767909	0.00361049190927338	1	0.928182070528397	1.07729785687211	0	0
stoploss	germline_mutation	106	209761	0.000505337026425313	0.000415717585708661	0.000613702509235952	1	0.822654117885231	1.21444200037587	0	0
