,Classification
4402_A1,0.970587
4402_A3,0.924284
1864_E3,0.33785444
6032_A1,0.0066067525
6032_C7,0.98508805
6032_E7,0.995598
4638_A1,0.40796208
4638_A4,0.99817204
4638_B2,0.95402116
1039,0.6504587
5919_C4,0.91529566
5919_D2,0.99946445
5919_E3,0.9934134
5919_F6,0.9621582
5828_C2,0.9400542
5828_G2,0.9965264
5657_D1,0.9962968
5657_H1,0.99983025
1363_A4,0.6725503
1363_D4,0.005799702
1363_H4,0.00020811314
1673_A2,0.9501943
1673_A3,0.998672
1673_D2,0.98073155
604_B2,0.82036424
604_B3,0.0011237748
604_B6,0.77256006
1743_A3,0.0017335757
1743_C3,6.0640883e-05
1743_F3,0.0023230133
1113_D1,0.95608735
1113_E1,0.8807073
1113_F1,0.9858342
