,Classification
4402_A1,0.98283845
4402_A3,0.997733
1864_E3,0.87723035
6032_A1,0.30342194
6032_C7,0.98253906
6032_E7,0.9992939
4638_A1,0.6543542
4638_A4,0.9993573
4638_B2,0.91104805
1039,0.84003955
5919_C4,0.5389751
5919_D2,0.9998672
5919_E3,0.99620855
5919_F6,0.98776734
5828_C2,0.9165021
5828_G2,0.9984092
5657_D1,0.9964786
5657_H1,0.99989676
1363_A4,0.64375865
1363_D4,0.0038552685
1363_H4,0.0005966495
1673_A2,0.92446333
1673_A3,0.9998692
1673_D2,0.9969806
604_B2,0.086024955
604_B3,0.0018296324
604_B6,0.63238096
1743_A3,0.002278952
1743_C3,0.009946735
1743_F3,0.0149220005
1113_D1,0.8214367
1113_E1,0.8832055
1113_F1,0.9812046
