,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
4402_A1,0.34546798,0.1580156,0.31235048,0.12539318,0.5850342,0.19211563,0.1202728,0.12814781,0.092814945,0.11039642,0.22268869,0.21522385,0.13468866,0.12771918,0.118109286,0.16352123,0.17666377,0.05281605,0.250575,0.12631975,0.07207275,0.14075987,0.18616799,0.17400777,0.09647418,0.11488737,0.19150512,0.14450255,0.1598934,0.055644825,0.103067085,0.09409837,0.13583474,0.154981,0.12098146,0.13110603,0.19829132,0.16304438,0.084819004,0.06360362,0.25143364,0.21629694,0.15648724,0.18553309,0.61828995,0.20540427,0.08308839,0.17961758,0.25781888,0.16197506,0.07041156,0.065731935,0.083239526,0.107822426,0.08401961,0.19785126,0.06419723,0.059455037,0.09535115,0.08754088,0.08024111,0.06681122,0.24906443,0.06964714,0.16039446,0.059832834,0.076899454,0.056191187,0.11179583,0.0833098,0.07992056,0.1411876
4402_A3,0.32118797,0.17114712,0.3652028,0.15787214,1.0,0.23287323,0.119413085,0.13280122,0.099217206,0.08408792,0.2186862,0.24803932,0.16149102,0.1469635,0.11501496,0.27182922,0.17008145,0.09010969,0.2922645,0.15818195,0.13597013,0.20752795,0.21719815,0.2571207,0.12392553,0.16772285,0.18563554,0.21044244,0.22034156,0.07294635,0.20292494,0.11888381,0.16744873,0.16223475,0.17767395,0.06737222,0.24361177,0.16435774,0.09579276,0.10151678,0.2438065,0.2640199,0.14794286,0.24333249,0.3416739,0.25278854,0.10376541,0.23029628,0.25443673,0.12624757,0.09902869,0.052068647,0.084469594,0.12870933,0.07208663,0.16865322,0.067849874,0.09630873,0.10111342,0.0967068,0.1087366,0.08521827,0.26490676,0.084083356,0.20896533,0.07152515,0.08578693,0.08142939,0.12560709,0.054821566,0.2070306,0.08707805
1864_E3,0.27735198,0.15785694,0.31437707,0.14837345,0.90349215,0.20608433,0.12609945,0.12098127,0.083386965,0.09090686,0.20008299,0.240506,0.12538506,0.12804164,0.14443587,0.2558645,0.14051771,0.09844618,0.24529032,0.16341954,0.10744426,0.15567824,0.18989189,0.23127972,0.11719655,0.13478616,0.21467343,0.20495953,0.19511859,0.044191528,0.17683025,0.106529206,0.13045372,0.16543908,0.2128388,0.06915812,0.20215183,0.15712316,0.114563316,0.08295676,0.24710415,0.22714677,0.15745902,0.21684752,0.38304186,0.23901844,0.10089167,0.2136873,0.2460362,0.12803315,0.09594625,0.060390737,0.06388597,0.1150193,0.08548283,0.17782037,0.09164711,0.07203437,0.085698105,0.10534714,0.094045,0.091258965,0.24149507,0.08937168,0.21497549,0.06329489,0.08664803,0.08979386,0.11624854,0.07863036,0.15463656,0.06582213
6032_A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6032_C7,0.26173106,0.13133451,0.29691803,0.14933316,1.0,0.2038491,0.10710487,0.11345833,0.07351127,0.08096095,0.16725883,0.20826386,0.12432129,0.13479778,0.10059738,0.2522555,0.14438011,0.1260523,0.25740084,0.16235891,0.12135014,0.17391828,0.1851636,0.22091627,0.10883677,0.1428509,0.180966,0.19314356,0.20547509,0.07604509,0.18873985,0.09985687,0.14400026,0.15621229,0.17249407,0.060592458,0.22083002,0.1500277,0.11339376,0.106152415,0.20458412,0.2531182,0.12378382,0.22081575,0.24876778,0.24097054,0.11165757,0.21044163,0.19355993,0.10512941,0.13421163,0.051610913,0.08298311,0.11959501,0.059463333,0.11790991,0.069411814,0.08930407,0.1019807,0.08619983,0.120746166,0.07264404,0.2007626,0.05924446,0.21291532,0.07183715,0.072302505,0.054708567,0.12410729,0.040743917,0.20113942,0.06979713
6032_E7,0.32096002,0.15328887,0.27009168,0.09295774,0.56749564,0.17957063,0.10657955,0.120333895,0.0772995,0.094548635,0.19046451,0.19053134,0.08923057,0.09517542,0.09709047,0.14637002,0.158577,0.05894631,0.21728541,0.13207415,0.06216113,0.12093605,0.16420749,0.15636568,0.084934,0.08441485,0.18011817,0.13976267,0.14038739,0.04188436,0.085890986,0.08810451,0.11554782,0.12014727,0.103322916,0.08672348,0.16971533,0.14311813,0.067024626,0.052600905,0.21000503,0.19034109,0.13805468,0.1589503,0.59845126,0.1902876,0.089342356,0.15983723,0.21938474,0.14528628,0.07219337,0.05845609,0.06647971,0.10375421,0.07151698,0.1757558,0.06669955,0.06935698,0.079175025,0.07955232,0.07262648,0.063491285,0.21889547,0.06889391,0.15060206,0.057925083,0.06358999,0.048134938,0.09870831,0.079145655,0.07751317,0.13013874
4638_A1,0.21917145,0.13098747,0.24219185,0.14232211,1.0,0.19600402,0.12567766,0.098969355,0.11256526,0.09539574,0.1725263,0.20059113,0.08521281,0.12817372,0.18629745,0.240502,0.17942795,0.15424259,0.242827,0.16599593,0.113024905,0.110642396,0.15299435,0.19937414,0.14279647,0.12519217,0.20072632,0.1597999,0.20432794,0.08126437,0.2174804,0.10169283,0.112796746,0.1347783,0.1842583,0.038797606,0.23851384,0.21087444,0.10556447,0.100283906,0.21346715,0.22375855,0.15435395,0.21737835,0.23493463,0.2543589,0.1395849,0.19277844,0.15693805,0.061626118,0.15710852,0.07528269,0.07642326,0.108445056,0.07542174,0.15276293,0.09930419,0.072718844,0.09838373,0.12664776,0.12002657,0.10126962,0.18207869,0.06827475,0.1937392,0.076659985,0.07162129,0.05629904,0.12755296,0.056752212,0.18488231,0.08484781
4638_A4,0.25047696,0.14371881,0.25974777,0.099532805,0.53358907,0.19147366,0.111767605,0.12549381,0.07405224,0.10427489,0.18426818,0.18569909,0.082538374,0.09107832,0.0873007,0.15048908,0.13451113,0.07084128,0.18601485,0.1476395,0.060640402,0.118355185,0.14541319,0.15116423,0.08280769,0.081182934,0.19103713,0.14605148,0.12632892,0.031953223,0.09044016,0.079450056,0.108597964,0.107867695,0.12895675,0.07405972,0.16068101,0.12969653,0.06297559,0.052817218,0.19930059,0.18669331,0.13515978,0.14738971,0.6570988,0.19338924,0.07609126,0.15731302,0.1921137,0.15303232,0.08302768,0.044956543,0.0669683,0.10352658,0.07022062,0.16947876,0.071324326,0.06998232,0.0767733,0.08470326,0.08689067,0.06335647,0.2198431,0.067968205,0.15659387,0.060189202,0.057098202,0.055512805,0.09295278,0.08409676,0.067381196,0.11998345
4638_B2,0.2766301,0.15457056,0.39724603,0.14521568,0.6967147,0.15706085,0.09882681,0.10509571,0.083125,0.08234053,0.21899647,0.16813393,0.08582316,0.0928205,0.1423574,0.19832844,0.12839797,0.08756098,0.23317191,0.14339381,0.09099217,0.12821795,0.16034572,0.20620658,0.099370256,0.12208248,0.19314358,0.1809031,0.15190566,0.06462728,0.111929916,0.09447353,0.101253346,0.15427357,0.19736262,0.107816406,0.17456476,0.12265018,0.09101723,0.10256221,0.22280821,0.15724318,0.1463683,0.22939844,0.39966828,0.20774986,0.08250145,0.16999085,0.25331628,0.14077339,0.062711746,0.049479228,0.06566962,0.07677916,0.07455672,0.15568882,0.09878494,0.03291646,0.06595342,0.10702622,0.07788868,0.08467185,0.22598712,0.10362208,0.17753308,0.12968372,0.08111472,0.06995497,0.11326897,0.07164797,0.11639788,0.067965746
1039,0.26364186,0.10873592,0.20914184,0.08922572,0.9025936,0.17506935,0.1365566,0.117056146,0.093737826,0.058102142,0.11222018,0.16072516,0.09383307,0.099091314,0.110285856,0.18635216,0.108889155,0.099505104,0.22892079,0.13310288,0.08471848,0.12921052,0.15147732,0.24459627,0.113593325,0.08832254,0.18679076,0.1841958,0.1781143,0.07970991,0.14436829,0.08330105,0.13940068,0.116773464,0.14090744,0.062086802,0.22437946,0.16416074,0.10315953,0.07563435,0.22369742,0.20028692,0.14174329,0.17753458,0.21797422,0.21798992,0.11553527,0.2007115,0.14539576,0.080417864,0.12212388,0.064419396,0.04348658,0.11592117,0.05370696,0.121523626,0.07866604,0.07321017,0.0708396,0.079864815,0.085549995,0.054588243,0.18673705,0.06890462,0.21315636,0.09318356,0.06276762,0.06276922,0.12467694,0.019152446,0.15031245,0.084974915
