,Classification
4402_A1,0.9829428
4402_A3,0.9977373
1864_E3,0.882127
6032_A1,0.30747858
6032_C7,0.98274106
6032_E7,0.99930084
4638_A1,0.6637594
4638_A4,0.9993729
4638_B2,0.91804665
1039,0.87329245
5919_C4,0.71162677
5919_D2,0.9998802
5919_E3,0.99680126
5919_F6,0.989007
5828_C2,0.9652454
5828_G2,0.9987218
5657_D1,0.9971879
5657_H1,0.9999112
1363_A4,0.79942304
1363_D4,0.009953687
1363_H4,0.00082267984
1673_A2,0.96490276
1673_A3,0.99988246
1673_D2,0.9973797
604_B2,0.25986874
604_B3,0.0015317111
604_B6,0.8502118
1743_A3,0.0033363043
1743_C3,0.0069573587
1743_F3,0.009865327
1113_D1,0.8946426
1113_E1,0.94067115
1113_F1,0.9879546
