,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
4402_A1,0.3605361,0.17576824,0.38577265,0.18197559,0.6557217,0.22432782,0.15155357,0.14605324,0.11352596,0.14297065,0.25866857,0.2588979,0.20495073,0.17619976,0.14762497,0.19551824,0.21052271,0.04439997,0.30339554,0.123568766,0.084443815,0.17283992,0.21749508,0.21548803,0.112272866,0.16545889,0.2127059,0.15205626,0.1963417,0.06657009,0.13269828,0.09779799,0.15869202,0.19877453,0.14858052,0.18922113,0.23500082,0.1940772,0.119325586,0.07010289,0.30643085,0.24603036,0.1834235,0.23512478,0.6420423,0.23580237,0.06865083,0.20200321,0.32524025,0.19464068,0.07224877,0.07813706,0.10665164,0.11226271,0.11016129,0.25282398,0.05263051,0.052099243,0.11546901,0.10798094,0.09749308,0.06862125,0.29549995,0.075661,0.17756654,0.051303543,0.10443956,0.06114792,0.116950475,0.0909888,0.0917469,0.16302545
4402_A3,0.32521066,0.17874037,0.405837,0.17116013,1.0,0.25151893,0.121782996,0.14644694,0.10411753,0.095583335,0.24866854,0.27447927,0.18381417,0.16775392,0.13284603,0.3011556,0.18958667,0.08359242,0.3174329,0.16313487,0.1532948,0.22643147,0.23618321,0.2848869,0.135217,0.19289559,0.2005048,0.22064169,0.2468889,0.08034912,0.23577581,0.12674205,0.18269202,0.1787538,0.19016568,0.080856584,0.27048114,0.17664076,0.1047555,0.107735805,0.26800418,0.2852149,0.15702067,0.26277298,0.37913302,0.26677325,0.10876747,0.25029007,0.2865607,0.13824958,0.10547945,0.053446252,0.08799072,0.1358756,0.078263886,0.19819199,0.06640182,0.10360982,0.10849876,0.103374936,0.11054796,0.096531406,0.30164844,0.090990044,0.21957773,0.074613646,0.09791877,0.087331906,0.13360834,0.05775862,0.22410443,0.08871057
1864_E3,0.29725626,0.16633669,0.40694684,0.18822125,0.949478,0.24846603,0.13703895,0.14572665,0.102273926,0.11595472,0.25762483,0.30636442,0.1694048,0.16190933,0.1770395,0.30760038,0.17226666,0.092590965,0.29665485,0.17684695,0.13622612,0.19080868,0.24936199,0.28125206,0.14124027,0.19004476,0.24038625,0.22833996,0.24263439,0.057553608,0.22935483,0.12702052,0.1528375,0.19985966,0.23140843,0.08788921,0.26118022,0.18149056,0.11275239,0.099658005,0.28687882,0.27740067,0.18281797,0.2747844,0.45434758,0.27834776,0.09769631,0.24757203,0.30146673,0.15953039,0.10647628,0.058893263,0.07510788,0.12427045,0.09598212,0.22929356,0.08990973,0.078754716,0.103414014,0.12524351,0.107199825,0.113946095,0.30496836,0.099520355,0.23599744,0.06975232,0.103282996,0.09964998,0.13466716,0.087739065,0.18597794,0.087233484
6032_A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6032_C7,0.27359775,0.1427232,0.35961056,0.17555985,1.0,0.2362115,0.10664453,0.12609202,0.087887175,0.10099222,0.21263966,0.25349,0.15969478,0.16379464,0.119912796,0.29254216,0.1601412,0.11896109,0.2959952,0.17738321,0.13657704,0.20492016,0.21902782,0.26740605,0.124268234,0.17795609,0.20257677,0.20832704,0.24743272,0.07873519,0.22824591,0.1084538,0.16557705,0.17903076,0.19213988,0.07222393,0.25853392,0.16206342,0.11668634,0.103997044,0.23658925,0.29003337,0.15032187,0.2518828,0.31985432,0.26242864,0.11332448,0.24377751,0.23882471,0.12774159,0.14071076,0.04966492,0.09031895,0.13770866,0.06542459,0.15184192,0.076410376,0.10552302,0.11367112,0.10576643,0.12449682,0.09122735,0.25999343,0.07012099,0.22578768,0.075592354,0.08941992,0.0749854,0.13782416,0.052450046,0.2274403,0.074558415
6032_E7,0.32593554,0.16005775,0.34464434,0.14224851,0.62712044,0.21170494,0.13280007,0.13202873,0.0963938,0.123357676,0.22741301,0.24119638,0.15296514,0.13511652,0.1236347,0.18325633,0.18420365,0.049291637,0.26741537,0.1325915,0.07826235,0.15391839,0.20218271,0.1920432,0.0995413,0.13023421,0.20194544,0.15813315,0.17579165,0.05085386,0.11430601,0.09335713,0.14350449,0.16314217,0.13276,0.13595508,0.21210635,0.16615567,0.092417836,0.061969396,0.2705352,0.22924428,0.15782343,0.20400824,0.6455417,0.21956581,0.0800719,0.1890043,0.27153954,0.17556646,0.079792716,0.063069426,0.08852761,0.114750266,0.093312606,0.22649981,0.05936887,0.06224133,0.105743915,0.09306562,0.08827951,0.070781946,0.2713113,0.069575205,0.16685216,0.05477094,0.08406684,0.06188607,0.11681134,0.092223644,0.093532614,0.14696133
4638_A1,0.24083155,0.14039123,0.288971,0.16766895,1.0,0.21573989,0.11969474,0.115173206,0.12068004,0.10329803,0.20456728,0.22950643,0.1063163,0.15095593,0.19280964,0.2677989,0.189352,0.15209332,0.2771572,0.1752454,0.12178544,0.13104948,0.18516454,0.22964725,0.1534148,0.15981723,0.21111295,0.1718121,0.24047874,0.09042,0.25434896,0.106754705,0.12989697,0.15134093,0.1902808,0.042490058,0.26892585,0.2209053,0.102513835,0.10136639,0.22384234,0.25234973,0.16706726,0.24499781,0.27558142,0.2783634,0.13756727,0.22173902,0.19849388,0.07987647,0.16442022,0.07648353,0.08049102,0.11627281,0.07108126,0.17429201,0.09796317,0.080429114,0.10739928,0.14133109,0.13170885,0.11598967,0.22213724,0.07554109,0.20393045,0.0814781,0.077691145,0.06120574,0.14117931,0.060459804,0.20382512,0.09070885
4638_A4,0.2580468,0.14825517,0.31725034,0.1217931,0.5607293,0.21990597,0.12265748,0.13475998,0.08362411,0.120451115,0.21044077,0.23342015,0.11042371,0.113829896,0.10663,0.17551357,0.15467952,0.06483998,0.21852817,0.14890529,0.07378439,0.13423015,0.1798218,0.17853296,0.091178164,0.110760815,0.20807464,0.1672349,0.15865906,0.036681823,0.1143264,0.08931288,0.12274865,0.12924038,0.14448148,0.08883434,0.19729924,0.15134877,0.07260069,0.0561324,0.23428786,0.22227396,0.14317228,0.17897758,0.7066211,0.21962805,0.0783721,0.18047172,0.22801034,0.16913229,0.09090588,0.043954793,0.07519378,0.117474824,0.075805515,0.2045249,0.07312278,0.077070296,0.08722238,0.09285042,0.08835261,0.07945161,0.2553793,0.07128097,0.16504973,0.0626644,0.069586664,0.07079444,0.11269814,0.09302143,0.08662132,0.12833345
4638_B2,0.30160725,0.17245932,0.4837173,0.2033397,0.81647265,0.21767691,0.1338336,0.12527946,0.10813383,0.109494984,0.26904786,0.24108247,0.15018475,0.14236169,0.17424065,0.25187504,0.17072655,0.07341832,0.29291463,0.15832536,0.12276025,0.16273323,0.21019027,0.26798728,0.10674852,0.18156452,0.2055422,0.21048374,0.21469867,0.063628756,0.14902022,0.10727558,0.12829192,0.18605761,0.21415031,0.12771726,0.2222881,0.15633649,0.1187204,0.11582633,0.2804051,0.20675856,0.17562006,0.31144476,0.45236596,0.25024667,0.070049435,0.20336677,0.31725416,0.16992074,0.06921997,0.05194473,0.0805805,0.09272083,0.109581925,0.22973134,0.08400194,0.03397836,0.10307122,0.11652771,0.09804742,0.07820234,0.2742166,0.120429784,0.21090287,0.10522215,0.09977065,0.080993325,0.12104466,0.07338074,0.14603388,0.096968606
1039,0.30042458,0.13134433,0.2717272,0.12822391,0.97076917,0.20515893,0.11479431,0.11678574,0.08961856,0.067822725,0.16380611,0.19495368,0.11178131,0.12645873,0.119482644,0.2301761,0.13055159,0.1083128,0.25446406,0.15141177,0.10671559,0.14284906,0.18599184,0.22086824,0.12064343,0.12403479,0.1906972,0.20283255,0.19553131,0.07486368,0.17236046,0.102860056,0.13716424,0.13103339,0.16833867,0.053187553,0.2130123,0.16561407,0.09031941,0.08531833,0.20755994,0.22101812,0.14210448,0.1976314,0.2604003,0.23508008,0.102016576,0.1998166,0.199238,0.08922784,0.105230734,0.06049888,0.06453394,0.112024456,0.06066108,0.1392135,0.08262398,0.08181767,0.08953167,0.09175737,0.10035016,0.07212442,0.20584577,0.06997979,0.18793978,0.07370638,0.070943914,0.064278364,0.11380851,0.04004317,0.17601916,0.08021884
