,Classification
4402_A1,0.9900255
4402_A3,0.9856882
1864_E3,0.8432949
6032_A1,0.62202144
6032_C7,0.98995215
6032_E7,0.9888177
4638_A1,0.2654976
4638_A4,0.9986835
4638_B2,0.9832235
1039,0.89262646
5919_C4,0.9260095
5919_D2,0.9994097
5919_E3,0.99640626
5919_F6,0.9830776
5828_C2,0.9897748
5828_G2,0.99811757
5657_D1,0.99556434
5657_H1,0.99994314
1363_A4,0.8959257
1363_D4,0.027133057
1363_H4,8.914279e-05
1673_A2,0.9812688
1673_A3,0.9995735
1673_D2,0.99423957
604_B2,0.23470315
604_B3,3.330383e-05
604_B6,0.86212206
1743_A3,0.00192638
1743_C3,0.00012018358
1743_F3,0.021765089
1113_D1,0.9806543
1113_E1,0.9291451
1113_F1,0.9868662
