,Classification
4402_A1,0.99005437
4402_A3,0.98570365
1864_E3,0.84647596
6032_A1,0.62478924
6032_C7,0.9900058
6032_E7,0.9889164
4638_A1,0.2697045
4638_A4,0.99868745
4638_B2,0.98360175
1039,0.9026122
5919_C4,0.9448705
5919_D2,0.99941695
5919_E3,0.9965953
5919_F6,0.9842184
5828_C2,0.991553
5828_G2,0.99822515
5657_D1,0.99601114
5657_H1,0.9999443
1363_A4,0.92528534
1363_D4,0.06478496
1363_H4,0.00015368823
1673_A2,0.9850203
1673_A3,0.99958044
1673_D2,0.994651
604_B2,0.56130654
604_B3,6.217826e-05
604_B6,0.94635403
1743_A3,0.0025862565
1743_C3,0.00010426363
1743_F3,0.019442547
1113_D1,0.9827405
1113_E1,0.94857323
1113_F1,0.99134
