,Signature N1,Signature N2,Signature N3,Signature N4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS92
4402_A1,0.03234446,0.0,0.0,0.0,0.52600664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033063527,0.03271642,0.14655617,0.0,0.010173827,0.0,0.0,0.0,0.0,0.0,0.012787347,0.0,0.0,0.061558854,0.012636203,0.0,0.0,0.0,0.0,0.0,0.034787696,0.0,0.0,0.0,0.0,0.032162175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4402_A3,0.03601012,0.0,0.0,0.0,0.20730437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47273958,0.0,0.0,0.0,0.22204833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1864_E3,0.013761834,0.0,0.0,0.0,0.0,0.0,0.0,0.14325705,0.0,0.0,0.06314305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142924,0.0,0.0,0.16491713,0.0,0.0,0.0,0.029386248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14004077,0.0,0.16358644,0.0,0.0,0.0,0.048952676,0.0,0.0,0.07969026,0.0,0.0,0.0,0.0,0.13897207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6032_A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105881006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017549401,0.0,0.0,0.05398852,0.15586603,0.0,0.0,0.060136903,0.0,0.0,0.0,0.0,0.0,0.0,0.021839794,0.11834403,0.0,0.09822331,0.0,0.0,0.0,0.0,0.0,0.0,0.11639751,0.0,0.0,0.0,0.0,0.20352048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04825307
6032_C7,0.03596711,0.0,0.0,0.0,0.13119899,0.012198243,0.014135003,0.0,0.0,0.0,0.0,0.025007937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013497133,0.017617306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057217088,0.0,0.0,0.0,0.0,0.0,0.0,0.019282918,0.010449728,0.0,0.52205336,0.0,0.0,0.0,0.028741037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6032_E7,0.02950869,0.0,0.0,0.0,0.5920464,0.0,0.0,0.0,0.0,0.0,0.058003813,0.0,0.0,0.0,0.0,0.030713577,0.0,0.0,0.0,0.011075298,0.0,0.0,0.055148907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12672167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638_A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015062312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032329097,0.05703578,0.0,0.25428396,0.0,0.0,0.0,0.0,0.0,0.0,0.03483297,0.16903214,0.0,0.0,0.0,0.06693591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14468545,0.17949478
4638_A4,0.020773917,0.0,0.0,0.02759486,0.15548533,0.0,0.0,0.0,0.0,0.0,0.23947176,0.0,0.0,0.0,0.0,0.025017029,0.0,0.0,0.0,0.024599457,0.0,0.0,0.0,0.0,0.0,0.0,0.028690098,0.0,0.0,0.0,0.0,0.0,0.0,0.028174559,0.011068777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36082467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638_B2,0.03621698,0.0,0.0,0.0,0.20174268,0.0,0.0,0.0,0.0,0.0,0.15700904,0.0,0.0,0.0,0.0,0.016782396,0.0,0.0,0.0,0.012441462,0.0,0.0,0.021469401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030666443,0.019733863,0.0,0.0,0.0,0.0,0.0,0.0134703545,0.0,0.0,0.0,0.38741624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,0.04157578,0.0,0.0,0.0,0.44023746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021373535,0.0,0.012330373,0.0,0.0,0.01798671,0.020986846,0.05127538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022434242,0.0,0.0,0.04420277,0.023404125,0.0,0.0,0.0,0.0,0.0,0.019314311,0.017662002,0.0,0.0,0.036339965,0.013722153,0.0,0.0,0.11906188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
