,Classification
4402_1,0.20579614
4402_2,6.687481e-05
4402_3,9.306016e-08
4402_4,0.16969857
4402_5,0.0869233
4402_6,0.8739677
4402_7,0.4494185
4402_8,0.9994073
1864_1,1.4157324e-06
1864_2,0.5208833
1864_3,0.018995369
1864_4,0.7766492
1864_5,0.00091443595
1864_6,0.4679482
1864_7,0.041224252
1864_8,0.39596686
6032_1,1.0503318e-16
6032_2,0.11011355
6032_3,0.3971387
6032_4,0.9992004
6032_5,0.0001438353
6032_6,0.49333563
6032_7,0.99061054
6032_8,0.97826684
4638_1,0.99916327
4638_2,0.4162992
4638_3,0.9925547
4638_4,0.9996922
4638_5,7.2049785e-05
4638_6,0.18109417
4638_7,0.09176489
4638_8,0.5436725
1039_1,0.9324514
1039_2,0.9451532
1039_3,0.99955386
1039_4,0.97643596
1039_5,0.99999475
1039_6,0.97386473
1039_7,0.99903655
1039_8,0.5606109
5919_1,0.999912
5919_2,0.6730734
5919_3,0.9966754
5919_4,0.99841475
5919_5,0.98336446
5919_6,0.9809202
5919_7,0.99298865
5919_8,0.9691104
5828_1,0.92368716
5828_2,0.88747406
5828_3,0.7751735
5828_4,0.9982869
5828_5,0.06990444
5828_6,0.5770056
5828_7,0.9668633
5828_8,0.90861076
5657_1,0.69280285
5657_2,0.92712015
5657_3,0.9802995
5657_4,0.9999516
5657_5,0.9936166
5657_6,0.9999814
5657_7,0.99931455
5657_8,0.99955994
1363_1,0.059994187
1363_2,0.0024693604
1363_3,0.13378452
1363_4,0.542869
1363_5,0.9820677
1363_6,0.00030284634
1363_7,3.9529987e-05
1363_8,0.0027896196
1673_1,0.99786794
1673_2,0.255832
1673_3,0.90232277
1673_4,0.96126634
1673_5,0.09595806
1673_6,0.3692556
1673_7,0.58353806
1673_8,0.98598737
604_1,0.004366868
604_2,0.0010588322
604_3,0.11666306
604_4,0.014848777
604_5,0.06883933
604_6,0.07775706
604_7,0.98816943
604_8,0.0011333714
1743_1,0.0065320977
1743_2,0.9937198
1743_3,0.054147445
1743_4,0.31075191
1743_5,0.002442894
1743_6,0.0154623985
1743_7,0.007349183
1743_8,0.0011196134
1113_1,0.6697902
1113_2,0.99990535
1113_3,0.012202338
1113_4,0.81799185
1113_5,0.99453837
1113_6,0.6677251
1113_7,0.21220116
1113_8,0.8300387
