,Classification
4402_1,3.7149255e-23
4402_2,5.7490724e-06
4402_3,4.5398128e-08
4402_4,7.3524134e-06
4402_5,0.0015035928
4402_6,0.00011634491
4402_7,0.47179326
4402_8,0.80940557
1864_1,0.11011353
1864_2,0.5208833
1864_3,0.48413137
1864_4,1.2622532e-12
1864_5,0.45989367
1864_6,1.0789353e-09
1864_7,7.183506e-05
1864_8,0.995271
6032_1,0.002787465
6032_2,0.11011353
6032_3,0.98954636
6032_4,0.98967665
6032_5,0.7423497
6032_6,0.39145902
6032_7,0.796625
6032_8,0.29954043
4638_1,2.2054297e-05
4638_2,0.51292694
4638_3,7.0929764e-07
4638_4,0.99910647
4638_5,0.99988735
4638_6,0.9563218
4638_7,0.9998754
4638_8,0.3789297
1039_1,1.1037536e-15
1039_2,0.0069467514
1039_3,0.99951863
1039_4,0.16223648
1039_5,0.99546117
1039_6,0.0016579689
1039_7,0.0010053786
1039_8,0.02196347
5919_1,0.9094225
5919_2,0.99657464
5919_3,0.9970209
5919_4,0.99061006
5919_5,0.9999435
5919_6,0.23260584
5919_7,0.986112
5919_8,0.4169496
5828_1,0.9877257
5828_2,0.99993145
5828_3,0.7712173
5828_4,0.99963117
5828_5,0.9450314
5828_6,0.97427094
5828_7,0.9998266
5828_8,0.9757447
5657_1,0.14412569
5657_2,0.83342403
5657_3,0.99999964
5657_4,0.80959624
5657_5,0.9999461
5657_6,0.99972266
5657_7,0.73786265
5657_8,0.9944402
4402_11,0.0044849366
4402_21,0.11011353
4402_31,0.5156236
4402_41,0.0035567195
4402_51,0.5035886
4402_61,1.3401615e-10
4402_71,2.8457329e-05
4402_81,0.99509794
1864_11,0.5208827
1864_21,0.11011353
1864_31,0.0005929009
1864_41,1.817245e-09
1864_51,0.00040337944
1864_61,0.8436625
1864_71,6.20053e-06
1864_81,0.6336335
6032_11,0.11011353
6032_21,0.11011353
6032_31,0.73400646
6032_41,0.00010454956
6032_51,0.001370206
6032_61,0.9999007
6032_71,0.99993896
6032_81,0.005649538
4638_11,1.4407736e-09
4638_21,0.94698894
4638_31,0.000116517556
4638_41,0.87766117
4638_51,0.9926214
4638_61,0.10439102
4638_71,0.94320065
4638_81,0.51872385
1039_11,0.99997413
1039_21,6.7161268e-09
1039_31,0.5019367
1039_41,0.0070662005
1039_51,0.9501637
1039_61,0.9991185
1039_71,0.99178046
1039_81,0.0009843967
5919_11,0.0016165869
5919_21,0.89972246
5919_31,0.3197379
5919_41,0.99878615
5919_51,0.50184655
5919_61,0.9699903
5919_71,0.69952554
5919_81,0.9690108
5828_11,4.952825e-06
5828_21,0.99815947
5828_31,0.9948025
5828_41,0.843469
5828_51,0.89331084
5828_61,0.9443495
5828_71,0.9962961
5828_81,0.9857429
5657_11,0.92171
5657_21,0.23709804
5657_31,0.99050975
5657_41,0.9996977
5657_51,0.998689
5657_61,0.9952472
5657_71,0.99889934
5657_81,0.99745923
4402_12,0.004512157
4402_22,1.0
4402_32,4.224216e-12
4402_42,0.0017763721
4402_52,0.4329499
4402_62,4.7150666e-06
4402_72,0.87547654
4402_82,0.29180506
1864_12,0.11011353
