,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90
1,0.3808662,0.18226202,0.49730843,0.22764951,0.99834174,0.28240785,0.1598598,0.17992559,0.120960005,0.12566724,0.31213412,0.34503552,0.2513491,0.20108105,0.18424454,0.33160236,0.22981174,0.0625525,0.3819865,0.14581296,0.16283728,0.23807451,0.27920115,0.33441123,0.15297943,0.23374157,0.239225,0.24669972,0.2816153,0.08779792,0.23953536,0.14440408,0.19777793,0.23058234,0.23407516,0.14212085,0.30689445,0.19193381,0.12800747,0.115696475,0.33771056,0.31697825,0.17890705,0.34208003,0.50998956,0.31772095,0.07808961,0.25237477,0.39185438,0.1821768,0.09287854,0.07690602,0.0997121,0.12851554,0.11518958,0.3105278,0.0593999,0.06639874,0.12864973,0.114741966,0.12104656,0.100883424,0.37213546,0.10333829,0.24060714,0.06362266,0.12756725,0.0871742,0.12951112,0.08203329,0.20371023,0.13073066
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.3843332,0.1654063,0.42169142,0.16425954,0.9716452,0.24489415,0.12932636,0.15466563,0.110564984,0.09128957,0.27041537,0.2853839,0.18164223,0.15938939,0.14119977,0.28396052,0.2001317,0.07215578,0.33103096,0.14945509,0.15041547,0.20359744,0.24569248,0.27343756,0.13669957,0.19328028,0.19471125,0.2233193,0.23364417,0.0876403,0.20457257,0.13741252,0.17201601,0.17159733,0.18887526,0.08649702,0.25731033,0.16826184,0.086629875,0.10733148,0.26705015,0.28425437,0.15563059,0.289068,0.4164906,0.28256065,0.092339404,0.23224497,0.31213903,0.14372025,0.08601569,0.058875356,0.081685975,0.11645046,0.09270755,0.24566084,0.069465816,0.076787114,0.10846939,0.09370837,0.0965228,0.089202546,0.2998638,0.095986106,0.22223507,0.066886075,0.09980486,0.090320736,0.12690195,0.06145651,0.20685762,0.10856882
4,0.30053583,0.1840645,0.55216396,0.25551835,0.94549996,0.27024093,0.163412,0.1480629,0.102416575,0.12486425,0.30429435,0.31382665,0.20743483,0.16481908,0.17690367,0.31028128,0.20246758,0.06826496,0.3205333,0.1747679,0.14602175,0.1981094,0.23859371,0.318647,0.10707782,0.24036418,0.21630684,0.24986643,0.2669041,0.05982365,0.1951559,0.1195076,0.14931788,0.22836778,0.24771336,0.1457686,0.24817158,0.16795938,0.1473525,0.12738626,0.33385152,0.26137328,0.18504557,0.36329567,0.51212573,0.28334856,0.065823555,0.24952993,0.3639622,0.19808818,0.07533193,0.058659695,0.09249276,0.11131551,0.13293341,0.2749702,0.07495033,0.03864478,0.11797053,0.12092218,0.11552149,0.09097679,0.29467374,0.12631485,0.24410567,0.077308096,0.10583698,0.09876361,0.14053665,0.08352635,0.19016895,0.11598432
5,0.3758773,0.15560965,0.39366844,0.16737276,0.72802997,0.2098732,0.12943341,0.1501704,0.09148474,0.11184057,0.2780248,0.2569764,0.15476613,0.129906,0.1451884,0.22714776,0.17635348,0.05372632,0.30687642,0.13642149,0.0990755,0.14837144,0.21038203,0.23398179,0.113873646,0.14873907,0.21973373,0.19496387,0.18564008,0.06607546,0.13657783,0.11714998,0.15549953,0.18678775,0.18603668,0.14205615,0.22185865,0.15692997,0.106028974,0.08450094,0.2920458,0.24287614,0.16434334,0.26102075,0.5676858,0.2605692,0.0791832,0.19388185,0.34767154,0.19574723,0.07202926,0.06212139,0.08745991,0.10848496,0.103235684,0.24364059,0.07606942,0.034273375,0.10544304,0.09795744,0.09243307,0.089138456,0.27449876,0.09270431,0.20845395,0.077965125,0.11620131,0.06948253,0.11489089,0.10161209,0.1327487,0.12491573
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.3075932,0.15608849,0.36748934,0.15639777,0.72483546,0.22988248,0.13140237,0.13656941,0.08990419,0.11538174,0.24575323,0.25990388,0.14160475,0.116632186,0.13180752,0.22967397,0.16811432,0.054419234,0.2735992,0.15656517,0.095592976,0.16328095,0.21252887,0.2216289,0.110635154,0.1442367,0.2184133,0.18527304,0.19338886,0.04302668,0.14047907,0.10630957,0.14319843,0.17892808,0.16315721,0.10622125,0.22177665,0.15645705,0.09594351,0.06957642,0.2776018,0.23883185,0.1593319,0.22608942,0.61741793,0.2398396,0.08305779,0.18600468,0.3066825,0.18857045,0.085832424,0.058219057,0.08256818,0.11869321,0.10324091,0.24608505,0.07378129,0.05703255,0.10862678,0.10275249,0.09073985,0.084827416,0.2808869,0.08385416,0.18973306,0.0597696,0.099183135,0.073936254,0.11524075,0.104900815,0.124927126,0.12823705
8,0.29155323,0.16092938,0.35364497,0.1721946,1.0,0.2186978,0.12339648,0.1217514,0.08305001,0.08709222,0.20401041,0.23474132,0.15229851,0.14262317,0.11542431,0.26559862,0.14908972,0.10547684,0.26122266,0.16715325,0.118506834,0.18539914,0.19877361,0.2555192,0.10709959,0.15770489,0.2066182,0.21748112,0.21535787,0.06395718,0.18655688,0.11527311,0.1484101,0.17334342,0.20279853,0.06901228,0.22691773,0.13942975,0.11646292,0.10133332,0.24016027,0.2481272,0.13419123,0.24224234,0.33470485,0.24892157,0.09931088,0.22307214,0.24953307,0.12504233,0.10143241,0.05177327,0.0734429,0.12494866,0.073602624,0.15653567,0.07875848,0.07796274,0.088185966,0.0964079,0.102685094,0.08813335,0.2445574,0.079000555,0.21839385,0.06538873,0.07770187,0.08013491,0.12923834,0.07202408,0.19388667,0.07318309
9,0.26808545,0.15907854,0.33343187,0.17593034,1.0,0.21100156,0.11938283,0.11739995,0.07669994,0.087270185,0.19231237,0.22223653,0.14758007,0.14298539,0.11235013,0.26709935,0.1423672,0.112305924,0.2487493,0.1713887,0.11528309,0.18041432,0.19163258,0.24919468,0.09770165,0.15119097,0.20911618,0.21494186,0.21372543,0.059892,0.18472362,0.11147087,0.14450356,0.1769847,0.20871377,0.06681678,0.22828534,0.13729316,0.12847857,0.10641973,0.23569402,0.24281733,0.1283076,0.23130825,0.31946865,0.2417998,0.10625071,0.21696524,0.23449416,0.120735854,0.11014769,0.050310344,0.0739619,0.123832054,0.0720174,0.13548096,0.07695402,0.0850916,0.08936394,0.093145564,0.10599693,0.08413807,0.22917774,0.07225248,0.21681203,0.068307176,0.07546856,0.07632747,0.13062757,0.071829826,0.19137612,0.06665475
10,0.27508765,0.12769075,0.26709828,0.12961847,1.0,0.17876002,0.115601234,0.103943944,0.06456368,0.065864585,0.13966253,0.18126984,0.11174061,0.107954726,0.08452153,0.22414917,0.11841611,0.118526146,0.21835245,0.14729749,0.099173725,0.14568053,0.1600404,0.20387143,0.0882541,0.1158653,0.17874338,0.20046979,0.16654396,0.063568905,0.14507641,0.09770997,0.12454826,0.13886814,0.17321493,0.055756915,0.18639717,0.12473467,0.11175969,0.09530476,0.19649957,0.20997666,0.102938525,0.19529338,0.24248263,0.22300509,0.09886392,0.18444635,0.18455282,0.09262449,0.1062645,0.058143478,0.06647941,0.10596176,0.059474185,0.10685053,0.07231171,0.06904029,0.08225782,0.071084626,0.10056725,0.06047631,0.16974565,0.0586531,0.1971285,0.06451062,0.057941858,0.049960658,0.1176009,0.049232595,0.16920117,0.06444611
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.24759848,0.16383539,0.3723159,0.1743611,0.56176525,0.24796572,0.14019954,0.1542992,0.10032826,0.15213095,0.2235057,0.27428767,0.15396775,0.16159563,0.14047171,0.19170934,0.1819863,0.05534153,0.24218363,0.14730868,0.0959864,0.1612343,0.20266025,0.20863107,0.09423473,0.14585687,0.22599716,0.18759948,0.19350795,0.044617176,0.142616,0.08971494,0.14049713,0.16012605,0.17582256,0.14260462,0.23044097,0.17966187,0.094944194,0.06792623,0.28486782,0.25578758,0.15653875,0.21527442,0.7994704,0.2581442,0.06654907,0.19707294,0.26440182,0.18449906,0.095192805,0.05354841,0.09090173,0.13249744,0.087663695,0.23742338,0.07065061,0.07878652,0.10835072,0.10199088,0.11230974,0.08498756,0.2879782,0.075057216,0.1687508,0.05957268,0.07325147,0.08259544,0.12392959,0.10324745,0.08650521,0.14256164
