,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown
decile_1,0.22665957,0.0,0.0,0.0,0.0,0.0,0.013183158,0.16684139,0.0,0.07259155,0.032992266,0.04173992,0.0,0.0,0.0,0.0,0.0,0.0,0.043860476,0.0,0.0,0.0,0.0,0.08715792,0.0,0.0,0.040366024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26714948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074582696
decile_2,0.0,0.0,0.0,0.10852683,0.0,0.1031432,0.15613979,0.0,0.0,0.0,0.05341723,0.0,0.014312634,0.0,0.0,0.0,0.0,0.0,0.0,0.0387566,0.0,0.030007979,0.0,0.0,0.0,0.0,0.053841803,0.19658087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050966427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17719667,0.0,0.0,0.0,0.01710993
decile_3,0.094883054,0.0,0.026293224,0.0,0.47232026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03087421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3402615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035367727
decile_4,0.1946307,0.013735634,0.11788445,0.0,0.41980815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08773356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13001357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036193907
decile_5,0.12064374,0.0,0.0,0.0,0.74277526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036143504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018394174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011308193,0.0,0.0,0.0,0.0,0.0,0.0,0.019526284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051208794
decile_6,0.12561592,0.023257354,0.0,0.0,0.7541908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030956216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01742658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04855311
decile_7,0.06209816,0.0,0.013929591,0.0,0.8347284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041088335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048155487
decile_8,0.07557742,0.0,0.019991742,0.0,0.76472265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014170318,0.0,0.0,0.0,0.012460316,0.0,0.0,0.0,0.0,0.0,0.0,0.06679678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462808
decile_11,0.055248138,0.050578736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021481313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013203365,0.015812406,0.0,0.038289744,0.011216251,0.0,0.0,0.0,0.0,0.0,0.044354763,0.0,0.0,0.0,0.062383145,0.27194452,0.0,0.109779626,0.0,0.0,0.0,0.0,0.011426006,0.015706366,0.10805889,0.0,0.0,0.118149035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02220445,0.0,0.0,0.0,0.018834507,0.011328757
decile_21,0.057656504,0.016395962,0.026309213,0.0,0.5551903,0.0,0.025340384,0.02315096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03765603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19211353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06618708
