,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90
A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,0.24603827,0.16934419,0.30966344,0.14851415,0.8330223,0.24966787,0.14294228,0.124763474,0.11635047,0.09416235,0.23697919,0.24021222,0.16107607,0.1647793,0.2546711,0.23232085,0.21594219,0.11621089,0.19769229,0.1545515,0.103715464,0.11846513,0.42943767,0.23071395,0.13952702,0.16853361,0.19283907,0.20561896,0.17219998,0.07307418,0.21111354,0.1390148,0.11794552,0.17133246,0.12917389,0.07735074,0.23557699,0.1948244,0.08250441,0.12053997,0.26031607,0.19811639,0.24345672,0.26270974,0.2735612,0.26929352,0.080893554,0.18612637,0.19972406,0.12265278,0.12571123,0.1248502,0.117255114,0.061335918,0.066058226,0.2724355,0.09759356,0.07815733,0.1316195,0.15308072,0.14370286,0.1547874,0.19866171,0.10066125,0.13105556,0.07894792,0.07183405,0.056015633,0.12766263,0.03368934,0.13888592,0.09618748
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,0.21991304,0.18034585,0.26815394,0.15757284,0.61161005,0.18830207,0.11945438,0.11322112,0.10373496,0.10510987,0.16109316,0.16241942,0.16080494,0.14393319,0.16591613,0.20760454,0.15558688,0.03283226,0.14187513,0.14717548,0.1272494,0.13215044,0.57050806,0.16809006,0.10158397,0.09634694,0.19630185,0.1690975,0.08397034,0.067499705,0.12499441,0.108977035,0.16766143,0.17122953,0.08491892,0.1885362,0.20082663,0.14541857,0.12693949,0.12218313,0.36310574,0.16583799,0.21993019,0.22002938,0.33961326,0.23880461,0.059538092,0.14022215,0.13140002,0.16971484,0.06456299,0.10382138,0.13220543,0.08140934,0.10474608,0.2172136,0.04659906,0.098974235,0.17691143,0.11315053,0.08191491,0.06725941,0.21527717,0.10619851,0.12381637,0.08244819,0.06941964,0.037810456,0.110270426,0.03481556,0.07401963,0.10247361
A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
