,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,Unknown
A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03486364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05942641,0.0,0.0,0.4570572,0.0,0.0,0.0,0.0,0.033144526,0.014536683,0.0,0.0,0.0,0.0,0.07137978,0.04002618,0.111543015,0.014503099,0.022420958,0.015620929,0.0,0.0,0.0,0.0,0.076438546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01855136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030487716
A2,0.060567956,0.0,0.0,0.0,0.0,0.0,0.03172678,0.0,0.0,0.0,0.0,0.0,0.0,0.026149465,0.023822896,0.0,0.0,0.0,0.0,0.035316553,0.0,0.0,0.3499524,0.0,0.0,0.0,0.0,0.0,0.028945278,0.0,0.0,0.0,0.0,0.11269122,0.0,0.0,0.0,0.010439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08248445,0.025025254,0.0,0.0,0.0,0.0,0.0,0.0,0.051692676,0.0,0.0,0.13410798,0.0,0.0,0.0,0.0,0.0,0.0,0.027077675
A3,0.03639017,0.0,0.0,0.0,0.6304828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27110752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019451516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01577397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026794076
A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019377124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022731824,0.0,0.0,0.0,0.021050509,0.0,0.3272291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035679974,0.0,0.17531338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102921665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08860846,0.02486337,0.0,0.0,0.010409964,0.0,0.08957224,0.0,0.015065377,0.0,0.0,0.0,0.0,0.03695589,0.0,0.0,0.0,0.0,0.030221105
A7,0.05109483,0.019652005,0.0,0.0,0.37704575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013336833,0.0,0.0,0.0,0.0,0.0,0.4156464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018074207,0.0,0.0,0.0,0.0,0.0,0.0,0.034523316,0.0,0.0,0.0,0.054007582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016619086
A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05594286,0.03175393,0.0,0.0,0.021649232,0.0,0.0,0.0,0.0,0.03184902,0.0,0.0,0.0,0.011411238,0.2915671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027502138,0.0,0.02221423,0.0,0.0,0.0,0.0,0.0,0.014894578,0.0,0.0,0.040940184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093861856,0.039436474,0.0,0.07105317,0.0,0.0,0.0,0.0,0.0,0.045568515,0.0,0.056522634,0.0,0.06330414,0.0,0.0,0.0,0.04002122,0.040507436
A9,0.0,0.04761445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037600804,0.014441567,0.01125901,0.26169917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13775119,0.0,0.016218564,0.0,0.0,0.0,0.08924659,0.0,0.0,0.0,0.12702194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09344964,0.0805436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039727345,0.0,0.0,0.0,0.030339738,0.0,0.0,0.0,0.0,0.013086379
A11,0.0147988545,0.02946829,0.0,0.0,0.0,0.0,0.028412191,0.0,0.0,0.0,0.0,0.0,0.03358967,0.0,0.0,0.023199057,0.012560209,0.0,0.0,0.011150711,0.0,0.0,0.45435104,0.0,0.0,0.0,0.0,0.10295447,0.0,0.0,0.0,0.0,0.0,0.0,0.03827174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06772365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09095339,0.025102392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011112114,0.0,0.0,0.0,0.0,0.014951023,0.0,0.0,0.0,0.041401267
A2n,0.0,0.013052928,0.0,0.0,0.0,0.0,0.0,0.0,0.016979488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48055676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285894,0.0,0.0550122,0.0,0.0,0.0,0.0,0.03855607,0.0,0.042990632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11970723,0.0617841,0.0,0.0,0.010431589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032339633
B3,0.0,0.016773785,0.0,0.041567244,0.0,0.050185096,0.0,0.0,0.0,0.0,0.0,0.0,0.061736666,0.06461064,0.0,0.0,0.01928359,0.017471718,0.0,0.056313712,0.0,0.0,0.08343725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905427,0.06669621,0.0,0.057979032,0.0,0.0,0.0,0.0,0.0429837,0.0,0.0,0.0,0.0,0.0,0.0,0.017303618,0.0,0.0,0.0,0.0,0.0,0.026908536,0.14306647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043139994
