,Classification
1,0.97092944
2,0.9805439
3,0.9970233
4,0.97630084
5,0.9580232
6,0.9803539
7,0.9853741
8,0.9615104
9,0.8867699
10,0.957813
11,0.90387684
12,0.97319883
13,0.9979504
14,0.9940519
15,0.9341962
16,0.94660276
17,0.98349273
18,0.9996082
19,0.99561715
20,0.86220413
21,0.998691
22,0.51876724
23,0.9324113
24,0.99089664
25,0.9725103
26,0.8638217
27,0.9947095
28,0.9715697
29,0.675707
30,0.95199364
31,0.9068578
32,0.990072
33,0.7080224
34,0.99798065
35,0.98450214
36,0.97689205
37,0.96909046
38,0.99561787
39,0.49047467
40,0.9380307
41,0.85731727
42,0.9916414
43,0.99663925
44,0.9688571
45,0.9248237
46,0.99097085
47,0.9063814
48,0.9842832
49,0.99557036
50,0.99018466
51,0.9567107
52,0.9682695
53,0.9906888
54,0.9877175
55,0.981005
56,0.8992159
57,0.74768984
58,0.99169886
59,0.83470994
60,0.87928194
61,0.9985574
62,0.68966556
63,0.954685
64,0.96021396
65,0.77407634
66,0.8606695
67,0.9316416
68,0.98913795
69,0.97109985
70,0.9233641
71,0.47556245
72,0.9899815
73,0.98102665
74,0.95364505
75,0.99514776
76,0.9931318
77,0.31634817
78,0.94653064
79,0.9886192
80,0.9826989
81,0.23373513
82,0.966654
83,0.9123548
84,0.9917891
85,0.9793841
86,0.96386516
87,0.98336965
88,0.9236624
89,0.005881219
90,0.9826031
91,0.7540693
92,0.943324
93,0.99326384
94,0.9900413
95,0.15531565
96,0.9645288
97,0.9897748
98,0.62552136
99,0.9933149
100,0.9833324
101,0.9724991
102,0.85052884
103,0.96163404
104,0.98961616
105,0.97494954
106,0.99679524
107,0.9880683
108,0.98135775
109,0.98229074
110,0.9912846
111,0.9953544
112,0.7348765
113,0.98922145
114,0.99270153
115,0.91284436
116,0.9725221
117,0.7110454
118,0.99122214
119,0.9896087
120,0.972945
121,0.82686466
122,0.969468
123,0.96965945
124,0.9744844
125,0.998511
126,0.98787516
127,0.96256226
128,0.9691575
129,0.98113143
130,0.9908297
131,0.9386288
132,0.9940328
133,0.9861953
134,0.95324886
135,0.95256877
136,0.94526535
137,0.94052297
138,0.80226415
139,0.9944865
140,0.97745717
141,0.88043004
142,0.59959143
143,0.98937154
144,0.9779443
145,0.9255797
146,0.9728423
147,0.97702754
148,0.9884234
149,0.99862707
150,0.9688691
151,0.99083287
152,0.96863043
153,0.9044252
154,0.98606455
155,0.78619087
156,0.9752374
157,0.24502537
158,0.9965179
159,0.98109037
160,0.95144546
161,0.99556077
162,0.9990031
163,0.9370863
164,0.9412847
165,0.8016812
166,0.2692705
167,0.9986039
168,0.9528214
169,0.99120647
170,0.9129744
171,0.99389404
172,0.9783054
173,0.999213
174,0.9877599
175,0.51052165
176,0.95163465
177,0.93185383
178,0.9980716
179,0.97956914
180,0.97133374
181,0.7409322
182,0.9693224
183,0.9732248
184,0.9139178
185,0.3542347
186,0.99502915
187,0.8903775
188,0.99334395
189,0.9802556
190,0.9873466
191,0.83185947
192,0.9723852
193,0.8844813
194,0.9830172
195,0.9466439
196,0.96295595
197,0.9634509
198,0.98012954
199,0.97304803
200,0.9954619
201,0.9039653
202,0.9873154
203,0.98727
204,0.9580768
205,0.9061508
206,0.9995346
207,0.98736763
208,0.91511947
209,0.9479536
210,0.9847751
211,0.9617875
212,0.9797279
213,0.98885965
214,0.82614046
215,0.5350866
216,0.99815816
217,0.06987115
218,0.99149936
219,0.9468549
220,0.99027306
221,0.9932656
222,0.99856275
223,0.98315305
224,0.97270864
225,0.9964149
226,0.9822599
227,0.9968393
228,0.8614967
229,0.80662924
230,0.9879694
231,0.985543
232,0.9672937
233,0.016030269
234,0.98032504
235,0.7949489
236,0.94973475
237,0.15004742
238,0.9918474
239,0.9830957
240,0.8972771
241,0.37771606
242,0.7522733
243,0.9767097
244,0.99295604
245,0.9987739
246,0.62485844
247,0.9038592
248,0.98211986
249,0.9996797
250,0.97859395
251,0.99618286
252,0.91396236
253,0.9985378
254,0.98418844
255,0.98025584
256,0.9859766
257,0.94169766
258,0.99793494
259,0.99299836
260,0.99285614
261,0.14318724
262,0.9931926
263,0.986101
264,0.9696518
265,0.9997334
266,0.8726487
267,0.9939917
268,0.98851264
269,0.056802686
270,0.94933456
271,0.91995585
272,0.99815494
273,0.9932001
274,0.98162234
275,0.99163157
276,0.8966693
277,0.9988765
278,0.99919873
279,0.925174
280,0.9913244
281,0.63379985
282,0.96121657
283,0.8810446
284,0.9400137
285,0.50373197
286,0.5422074
287,0.66020334
288,0.99441963
289,0.96735615
290,0.9937848
291,0.9345665
292,0.97722536
293,0.038436823
294,0.99780697
295,0.9868591
296,0.9858446
297,0.96820414
298,0.9869142
299,0.95764947
300,0.934292
301,0.92751664
302,0.89255315
303,0.88838387
304,0.98855734
305,0.06216725
306,0.9741435
307,0.98413867
308,0.95675963
309,0.96001935
310,0.99199766
311,0.9130593
312,0.9471729
313,0.27042508
314,0.7779293
315,0.9849187
316,0.9612801
317,0.9291135
318,0.97165215
319,0.9176292
320,0.94203377
321,0.9548605
322,0.8998257
323,0.97788435
324,0.9837577
325,0.77189946
326,0.90610415
327,0.99694234
328,0.95670766
329,0.9328315
330,0.9906504
331,0.98319906
332,0.9750327
333,0.96372384
334,0.718298
335,0.9430856
336,0.98956573
337,0.011461555
338,0.9475154
339,0.9907699
340,0.89696026
341,0.9998271
342,0.98833513
343,0.99599224
344,0.99497825
345,0.97348386
346,0.96262467
347,0.9847335
348,0.99235713
349,0.99916947
350,0.99539137
351,0.97879744
352,0.95561063
353,0.8300755
354,0.98932236
355,0.9661799
356,0.9505398
357,0.45691153
358,0.998747
359,0.9866763
360,0.97738
361,0.99803346
362,0.9465808
363,0.9803099
364,0.9825414
365,0.99274737
366,0.91772866
367,0.94917035
368,0.98608
369,0.9973495
370,0.9817085
371,0.98973477
372,0.9632794
373,0.9664165
374,0.9823788
375,0.939427
376,0.9789645
377,0.95076436
378,0.992334
379,0.9954608
380,0.34912223
381,0.62791353
