,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90
1,0.36261892,0.15956348,0.42077413,0.17621578,0.9531494,0.24440607,0.13492526,0.15133426,0.107823245,0.098415144,0.27175727,0.29052168,0.17413877,0.15501213,0.1501192,0.28428054,0.1863129,0.0776299,0.3193922,0.15674387,0.14072232,0.19751287,0.24144764,0.27512175,0.13452385,0.18829803,0.21499895,0.23057607,0.23574856,0.076119676,0.20567681,0.13342565,0.16312614,0.18307771,0.20824748,0.088040546,0.25528497,0.16549532,0.094584994,0.10001545,0.26800638,0.28103057,0.16071552,0.28881714,0.43802372,0.28381115,0.09258445,0.23521191,0.31560922,0.15225065,0.08479331,0.05651566,0.079685606,0.12057468,0.09633557,0.2402205,0.076734506,0.070983954,0.10481591,0.100472994,0.096512824,0.095327325,0.3016944,0.09900529,0.22841677,0.06495303,0.09971767,0.094480425,0.12849204,0.07361975,0.19744754,0.09926158
2,0.3444085,0.132639,0.27746886,0.117826164,0.9623871,0.18749568,0.10951017,0.112627506,0.08465694,0.05604099,0.17620917,0.19428203,0.11246154,0.114538684,0.09552766,0.21391457,0.13610442,0.09526877,0.24418321,0.13267909,0.10376879,0.15534328,0.17904493,0.20229557,0.11371491,0.12477659,0.16764148,0.18341751,0.16552722,0.0660513,0.14441922,0.10581124,0.13278699,0.12773393,0.15457655,0.04711299,0.18615957,0.13920437,0.0788841,0.08104054,0.19884245,0.21524705,0.1282937,0.20541641,0.27518186,0.2223144,0.08809828,0.18457155,0.21499287,0.09422165,0.075291306,0.05735451,0.0696055,0.10063025,0.064419225,0.13836637,0.07092407,0.07129334,0.088763,0.07643397,0.0897267,0.064668424,0.19968995,0.06898607,0.18744478,0.057606198,0.06982512,0.056620117,0.10516435,0.04666379,0.16437003,0.0850503
3,0.32147682,0.13493794,0.29461205,0.13297457,0.924334,0.18112652,0.11812878,0.118810534,0.077188544,0.07225933,0.18991932,0.21260217,0.11987093,0.10832502,0.1038252,0.2233451,0.13177021,0.094388306,0.2317058,0.1394255,0.09378887,0.14573662,0.17031433,0.20558262,0.101303704,0.118412405,0.18707322,0.20086005,0.16954966,0.048704524,0.13761048,0.109127596,0.13313726,0.14907643,0.17832178,0.05586666,0.18822232,0.12422979,0.1017526,0.07645478,0.21423586,0.2144967,0.12227289,0.2082446,0.3418003,0.23559223,0.0958453,0.18635312,0.24285999,0.12105629,0.077756874,0.0626353,0.06506,0.11195655,0.07729283,0.16124794,0.07641818,0.058017105,0.08095163,0.07873296,0.0857161,0.07224877,0.21296836,0.07623086,0.19998357,0.05144959,0.07097843,0.064617135,0.10566498,0.06946705,0.14900005,0.07394166
4,0.2580648,0.14081725,0.21400505,0.08837774,0.8936327,0.14108302,0.12906116,0.11769677,0.08218137,0.06475313,0.12774296,0.15360548,0.08484193,0.09677613,0.09643203,0.16041422,0.14618695,0.092310786,0.19402568,0.11821539,0.0942871,0.13880007,0.119315155,0.15841813,0.08960228,0.086572595,0.15392199,0.14976226,0.12015098,0.04310318,0.113231614,0.08320861,0.12514429,0.10440748,0.11826385,0.04071309,0.16389498,0.13344736,0.083910696,0.07918589,0.20561439,0.1983834,0.109921224,0.17592834,0.21600725,0.20058121,0.10695933,0.17593952,0.1464615,0.09238206,0.10049156,0.063067116,0.05843802,0.080540724,0.065823376,0.1006632,0.06327564,0.06050092,0.065002486,0.06850241,0.084492445,0.048323344,0.16119635,0.07437479,0.25039214,0.05122601,0.037916828,0.048152324,0.09569138,0.026632495,0.11436897,0.07116498
5,0.27983168,0.16317834,0.42811483,0.20304368,0.7826634,0.28344014,0.15732524,0.15164669,0.107452646,0.15646589,0.26554373,0.31875837,0.20027915,0.16094027,0.16877818,0.27316183,0.18902376,0.045975186,0.30387786,0.15246786,0.115552254,0.18923932,0.23573887,0.2670388,0.12094009,0.18703023,0.23955606,0.20342268,0.23653793,0.039691653,0.17572384,0.10477645,0.15735166,0.21589653,0.20519531,0.14932686,0.25566012,0.19776647,0.12628426,0.08053473,0.34118593,0.26929754,0.19477974,0.26716244,0.6771129,0.259657,0.07159774,0.21342169,0.3452699,0.21321172,0.09152628,0.067120016,0.10778978,0.12891775,0.12337801,0.2899035,0.06675678,0.06470162,0.12965357,0.122688845,0.11652656,0.088778555,0.32228976,0.086244404,0.20759457,0.05287172,0.11600713,0.08493096,0.11937256,0.10623701,0.12720558,0.1461557
6,0.29146993,0.14536521,0.31922927,0.15094423,1.0,0.20662731,0.122645974,0.11430983,0.08254322,0.07841399,0.18718529,0.22289693,0.13126281,0.13169223,0.10834566,0.24725606,0.13758029,0.107062556,0.24823627,0.16288932,0.10737978,0.16402991,0.18601598,0.23384167,0.10254391,0.14192879,0.19940762,0.20828469,0.19708538,0.061473798,0.16576745,0.10973981,0.14332786,0.15751389,0.18928456,0.058933064,0.2146999,0.13521515,0.111260645,0.093703605,0.22255236,0.2315218,0.12621915,0.2266049,0.303798,0.24078485,0.09759687,0.21035728,0.23021673,0.11256495,0.10020064,0.055328093,0.07118621,0.12168001,0.067639634,0.1483421,0.07807826,0.07264314,0.08695334,0.0910618,0.097097665,0.0800666,0.22921021,0.07281939,0.21104455,0.061204724,0.07235059,0.06989318,0.12347305,0.06325184,0.18008372,0.07224541
7,0.30500162,0.12565784,0.25880262,0.116063476,0.9952314,0.17631651,0.11536471,0.1048463,0.071497865,0.05874597,0.14567061,0.18148285,0.106296256,0.10498536,0.084211186,0.20958471,0.12405487,0.10714838,0.22157705,0.13735989,0.09778491,0.14791822,0.16228218,0.18927042,0.09888525,0.11084675,0.16790864,0.18693806,0.15371187,0.06202205,0.13987003,0.09856659,0.12530024,0.12756698,0.15750888,0.048448935,0.1781393,0.12987882,0.09298239,0.086473845,0.19205512,0.20379509,0.11105534,0.18962903,0.24004419,0.21688545,0.0918412,0.17887482,0.18630752,0.089400955,0.08732083,0.058878027,0.070071965,0.09989492,0.05881937,0.11453121,0.06673671,0.0663252,0.083409935,0.07139376,0.095598914,0.060114026,0.17256813,0.06076357,0.18952048,0.057809263,0.059702005,0.047544852,0.10843267,0.04416438,0.16278881,0.07342246
8,0.27599123,0.122642554,0.21298246,0.09925487,0.89760596,0.1617524,0.13125207,0.1118213,0.07702015,0.055465274,0.11269948,0.15266344,0.08702655,0.07976233,0.08192912,0.18516462,0.10039495,0.10098966,0.20193762,0.12784877,0.07503984,0.124701805,0.1454037,0.20254368,0.08903489,0.08429801,0.17104043,0.20435421,0.15582347,0.06428776,0.109378584,0.078443944,0.13508831,0.11540014,0.13304433,0.052905485,0.19178057,0.13419887,0.09269703,0.07133212,0.21531314,0.17864217,0.10760685,0.16943213,0.21225458,0.2139385,0.10056015,0.17307751,0.16036597,0.08402454,0.09978685,0.057935584,0.0487772,0.11388247,0.0588969,0.105287686,0.08113862,0.06940203,0.07414254,0.060499396,0.0863036,0.0468891,0.1665621,0.072550744,0.18494456,0.08029666,0.053694814,0.047184225,0.11385413,0.025917659,0.12975726,0.072636545
9,0.3151266,0.14506036,0.33691382,0.14817218,1.0,0.23143476,0.112462476,0.12561184,0.10427813,0.088953406,0.22356705,0.23954442,0.14110355,0.15224244,0.13474458,0.26469696,0.16054375,0.10864472,0.29067236,0.16976558,0.12743543,0.1809163,0.22754113,0.25011805,0.13658842,0.1675674,0.19535972,0.194976,0.22069256,0.07972963,0.21076119,0.112007365,0.1541826,0.15373878,0.18250987,0.06114565,0.23793393,0.1758901,0.08499366,0.09410127,0.21928911,0.26118252,0.16485927,0.239504,0.3048594,0.24792862,0.102384984,0.22705317,0.23991,0.11094742,0.1129466,0.05877234,0.08112393,0.122573934,0.06763845,0.16454121,0.07822146,0.09303493,0.10066333,0.11060999,0.1115399,0.08926354,0.25497162,0.07585969,0.20815429,0.073087886,0.09087479,0.07505056,0.12128181,0.044672497,0.20175198,0.08411785
10,0.30141887,0.16388679,0.42002207,0.17669676,0.87217027,0.21065187,0.122645065,0.12444073,0.08287365,0.09067428,0.2435848,0.25859007,0.12756433,0.12539531,0.13717097,0.25719744,0.16136695,0.09357016,0.29120234,0.16285656,0.1108861,0.16037275,0.20520046,0.25479057,0.10750775,0.17082344,0.20567673,0.22390263,0.21718277,0.049911194,0.1643171,0.11234132,0.12964761,0.18344489,0.20466651,0.09320595,0.20820628,0.13338989,0.11081406,0.09025033,0.27522472,0.2345483,0.14856687,0.28960654,0.4294795,0.25956386,0.0893898,0.21830897,0.30111733,0.15567172,0.08644075,0.058564257,0.06581038,0.11586763,0.097396255,0.22583646,0.08793853,0.04547953,0.088603035,0.101865545,0.078997955,0.09448889,0.26163924,0.11029932,0.22076151,0.07063204,0.09838747,0.08315423,0.13222627,0.080911234,0.16310838,0.084621325
11,0.35025695,0.12769875,0.2890691,0.124700405,0.8227447,0.18162605,0.114691205,0.12225244,0.09155398,0.07901409,0.22481914,0.21863818,0.095213056,0.10996155,0.13068996,0.22230868,0.13005818,0.08801931,0.27082047,0.14503942,0.08409064,0.12740247,0.17686157,0.2073926,0.11585104,0.11309834,0.20515577,0.19080006,0.17394717,0.048774052,0.14244738,0.107289426,0.13069932,0.14924946,0.18593858,0.06786487,0.19345719,0.14096057,0.08880326,0.05981994,0.2096911,0.21572478,0.15037747,0.21391211,0.40122896,0.23958522,0.09920596,0.18507397,0.2782511,0.13078581,0.078556225,0.069327965,0.05791935,0.11431142,0.08388221,0.1951739,0.08945549,0.059062522,0.08223442,0.091305636,0.07860222,0.07995576,0.25431517,0.085935384,0.21084893,0.06605149,0.09784589,0.065833285,0.09671362,0.07684919,0.1267843,0.08160109
