"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC010680.5",3.82500822454822e-105,4.13925914426579,0.147,0.006,1.15029472336839e-100,"14","AC010680.5"
"MLIP-AS1",2.38309350459088e-157,3.39585010685468,0.374,0.029,7.16667709635616e-153,"14","MLIP-AS1"
"DNAAF3",1.14972212458231e-59,3.39531908138784,0.123,0.008,3.45755934525638e-55,"14","DNAAF3"
"AC027018.1",5.30858663033376e-56,3.26034222858024,0.133,0.01,1.59645125734027e-51,"14","AC027018.1"
"AC008957.2",5.46105548095644e-59,3.23375255401576,0.109,0.007,1.64230321478803e-54,"14","AC008957.2"
"ZBTB20-AS5",2.01654906730624e-62,3.23175319875819,0.171,0.015,6.06436801011005e-58,"14","ZBTB20-AS5"
"PCDH9-AS2",9.02854561041299e-89,3.22585639133522,0.19,0.013,2.7151545214195e-84,"14","PCDH9-AS2"
"AC139720.1",3.39365448127163e-72,3.18373166444556,0.175,0.014,1.02057371215282e-67,"14","AC139720.1"
"LINC02552",4.01170240813724e-69,3.0659133568691,0.199,0.019,1.20643926519911e-64,"14","LINC02552"
"AC093879.1",3.38687542361233e-74,3.02048248509262,0.19,0.016,1.01853504614294e-69,"14","AC093879.1"
"LRRTM31",4.10160796754787e-153,3.00770883042502,0.517,0.057,1.23347656408067e-148,"14","LRRTM3"
"SLC8A1-AS11",2.86508274113473e-146,2.97872228823647,0.555,0.07,8.61616332741447e-142,"14","SLC8A1-AS1"
"AC087286.2",1.44876652840103e-68,2.9323968069485,0.18,0.016,4.35687558086041e-64,"14","AC087286.2"
"ZFPM2-AS1",1.0604912414157e-90,2.87116731251931,0.308,0.034,3.18921531030943e-86,"14","ZFPM2-AS1"
"AC108472.1",3.43144357154121e-39,2.79381013712264,0.1,0.008,1.03193802526959e-34,"14","AC108472.1"
"AC008696.2",5.26078983005361e-43,2.6715901030404,0.147,0.017,1.58207732559202e-38,"14","AC008696.2"
"AC002429.2",1.35301521794618e-36,2.64297713291253,0.114,0.012,4.06892266492956e-32,"14","AC002429.2"
"IPO9-AS1",1.43474679160429e-73,2.63045816079716,0.237,0.025,4.3147140263916e-69,"14","IPO9-AS1"
"AC005358.1",5.48445076797849e-32,2.61745884900034,0.1,0.01,1.64933887945417e-27,"14","AC005358.1"
"AL356124.1",2.41297686719055e-53,2.55442243451798,0.142,0.013,7.25654533270215e-49,"14","AL356124.1"
"AC092640.1",3.92918565199508e-46,2.53278725030575,0.156,0.017,1.18162400112448e-41,"14","AC092640.1"
"CFLAR-AS1",6.22785247849696e-27,2.50260950307932,0.1,0.012,1.87290207585839e-22,"14","CFLAR-AS1"
"EMC10",4.74941800562956e-84,2.47929759452641,0.346,0.045,1.42829247683298e-79,"14","EMC10"
"AL133257.1",4.93999198870615e-48,2.45538727541613,0.166,0.019,1.4856037907636e-43,"14","AL133257.1"
"TGFB2",2.86553689961885e-13,2.2969593458683,0.114,0.028,8.61752911822376e-09,"14","TGFB2"
"AC010680.1",1.03228796534896e-43,2.29154773250558,0.142,0.015,3.10439959819391e-39,"14","AC010680.1"
"AC092353.1",2.879702606466e-48,2.28795834969399,0.256,0.041,8.6601296484252e-44,"14","AC092353.1"
"CPNE8",5.36569158747963e-17,2.23334401811224,0.114,0.023,1.61362443110275e-12,"14","CPNE8"
"AC019068.11",1.5368900314263e-67,2.2113196924604,0.318,0.046,4.62188939150832e-63,"14","AC019068.1"
"NPNT",5.99313628916084e-21,2.17366353826029,0.104,0.017,1.80231587623934e-16,"14","NPNT"
"AC009878.2",1.00715540144972e-24,2.15253522898129,0.123,0.019,3.02881843877975e-20,"14","AC009878.2"
"DNAH11",8.35791161323687e-21,2.13275420132311,0.118,0.021,2.51347475944873e-16,"14","DNAH11"
"AF228727.1",3.14261182245455e-26,2.10615370122344,0.114,0.016,9.45077653366757e-22,"14","AF228727.1"
"DCP1B",1.91668368522218e-37,2.04819278135249,0.171,0.024,5.76404284656866e-33,"14","DCP1B"
"NPPB",5.95008435318501e-26,2.01589154416157,0.147,0.026,1.78936886753333e-21,"14","NPPB"
"TMEM176B",9.45689844366129e-33,1.94118546505468,0.156,0.023,2.84397306896226e-28,"14","TMEM176B"
"AC243964.3",3.02516868112503e-30,1.92239957121644,0.137,0.02,9.09758977474731e-26,"14","AC243964.3"
