"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADAMTS5",1.76921389370874e-90,7.13604153364562,0.144,0.003,5.32055694255029e-86,"9","ADAMTS5"
"ANG",3.59183226912082e-84,6.86351508942457,0.121,0.001,1.0801717182927e-79,"9","ANG"
"LRRN4CL",3.38599522691231e-84,6.84834636090659,0.121,0.001,1.01827034458934e-79,"9","LRRN4CL"
"TNFAIP6",2.37930330935515e-82,6.78148318571261,0.125,0.002,7.15527884222375e-78,"9","TNFAIP6"
"PLA2G4A",3.08961803839169e-69,6.44295179524051,0.114,0.002,9.29140832685534e-65,"9","PLA2G4A"
"AC006007.1",1.57044072097684e-70,6.34805007915346,0.11,0.002,4.72278638019365e-66,"9","AC006007.1"
"NRK",9.11743530324673e-91,6.29668214434309,0.167,0.005,2.74188631874539e-86,"9","NRK"
"STON2",1.05347928020669e-96,6.03294308940931,0.163,0.004,3.16812823936557e-92,"9","STON2"
"CCDC80",5.02088099013357e-242,6.00786748804229,0.47,0.018,1.50992954016287e-237,"9","CCDC80"
"ARL4D",2.63502359668719e-68,5.93035350924598,0.11,0.002,7.92430646231738e-64,"9","ARL4D"
"ADH1B",9.61420589832818e-248,5.92694211525956,0.455,0.015,2.89128013980423e-243,"9","ADH1B"
"PODN",3.82073761027561e-113,5.92357455163802,0.197,0.005,1.14901042153818e-108,"9","PODN"
"PAMR1",1.12096023002452e-76,5.87310731338604,0.129,0.003,3.37106369975274e-72,"9","PAMR1"
"COL12A1",3.60369377248432e-249,5.86816683853355,0.451,0.014,1.08373882819921e-244,"9","COL12A1"
"FBLN5",1.84804060299801e-190,5.86283311364262,0.341,0.01,5.55761250539591e-186,"9","FBLN5"
"MXRA8",6.89273145509253e-141,5.7576947437675,0.246,0.007,2.07285113048998e-136,"9","MXRA8"
"IGSF10",2.28912289486111e-160,5.738531931609,0.277,0.007,6.88407928171582e-156,"9","IGSF10"
"C7",1.04212340470859e-268,5.72369186869503,0.674,0.051,3.13397771498014e-264,"9","C7"
"CFD",6.1760641291553e-224,5.69402602364446,0.712,0.082,1.85732776556087e-219,"9","CFD"
"LUM",1.26040740808072e-269,5.67087370336273,0.61,0.036,3.79042319832114e-265,"9","LUM"
"PI16",1.06215552078158e-82,5.65900283425854,0.152,0.005,3.19422029764644e-78,"9","PI16"
"EVA1B",5.11513857878366e-63,5.65438804093796,0.117,0.004,1.53827562479761e-58,"9","EVA1B"
"DNM3OS",2.76231061471921e-83,5.63574866854443,0.14,0.003,8.30709671164508e-79,"9","DNM3OS"
"EFCC1",2.66670611211649e-73,5.63102328156398,0.114,0.002,8.01958529096792e-69,"9","EFCC1"
"PDGFRA",5.30759062434745e-277,5.62033603997158,0.53,0.02,1.59615172846001e-272,"9","PDGFRA"
"IGFBP3",1.38910759993253e-173,5.60073413729446,0.413,0.025,4.17746328527709e-169,"9","IGFBP3"
"PRELP",9.8339065119502e-218,5.5823518568447,0.455,0.021,2.95735070533878e-213,"9","PRELP"
"SRPX2",4.06958064518126e-81,5.56584137038762,0.152,0.005,1.22384498742536e-76,"9","SRPX2"
"ISLR",1.11086683855825e-102,5.56308355515823,0.163,0.003,3.34070984359622e-98,"9","ISLR"
"MGST1",1.21912507987855e-151,5.5619824543399,0.277,0.008,3.66627485271875e-147,"9","MGST1"
"MFAP2",1.16481936166334e-64,5.5609190753201,0.117,0.004,3.50296126633016e-60,"9","MFAP2"
"MFAP4",3.64992524066158e-149,5.55124088422037,0.288,0.01,1.09764201762416e-144,"9","MFAP4"
"SCN7A",3.78293859799802e-208,5.54701298511302,0.621,0.062,1.13764312457595e-203,"9","SCN7A"
"THBS2",1.85679750506603e-128,5.54321344335602,0.239,0.008,5.58394713698508e-124,"9","THBS2"
"TCF21",6.66721766278379e-148,5.54182640252158,0.265,0.008,2.00503236772897e-143,"9","TCF21"
"DEPP1",8.86070947216023e-52,5.5288925849914,0.136,0.009,2.66468115956275e-47,"9","DEPP1"
"ABCA9",8.20520872308844e-222,5.50523605776404,0.5,0.028,2.46755241929439e-217,"9","ABCA9"
"PTN",1.29591307161535e-211,5.48041413501476,0.489,0.028,3.89719938026883e-207,"9","PTN"
"VIT",9.80583799139836e-174,5.47696116368868,0.299,0.008,2.94890965915323e-169,"9","VIT"
"COL24A1",3.45609621556562e-130,5.46522759958472,0.261,0.01,1.03935181490705e-125,"9","COL24A1"
"RARRES1",8.66039702490163e-40,5.46419270979718,0.106,0.007,2.60444119729867e-35,"9","RARRES1"
"PLTP",8.31757540115156e-119,5.43492182609409,0.227,0.008,2.50134445038831e-114,"9","PLTP"
"RNASE4",4.63677328030763e-69,5.38552544122663,0.121,0.003,1.39441682858691e-64,"9","RNASE4"
"DLK1",1.33712116662024e-59,5.36697503940226,0.148,0.009,4.02112448437705e-55,"9","DLK1"
"C3",4.86837830533234e-185,5.36641143502716,0.383,0.017,1.46406740776259e-180,"9","C3"
"OLFML3",4.98902740472888e-79,5.36606808191179,0.159,0.006,1.50035021142412e-74,"9","OLFML3"
"DPT",8.04951613706122e-200,5.36067737663362,0.398,0.016,2.42073098789842e-195,"9","DPT"
"COL3A1",8.87777338034784e-186,5.34562548181623,0.458,0.03,2.66981278867201e-181,"9","COL3A1"
"COL6A6",3.7864608576566e-97,5.3444257894532,0.201,0.008,1.13870237372307e-92,"9","COL6A6"
