gene,regulation
UBR3,up
RBFOX1,up
YTHDC1,up
CSGALNACT1,up
OSBPL9,up
CAPN7,up
DPYD,up
RORA,up
METAP1,up
GAREM1,up
HSD17B12,up
PIK3R1,up
ANKRD36,up
PTEN,up
FGF14,up
SPATA6,up
WDFY2,up
CD46,up
HBP1,up
DSTN,up
HSF2,up
DNAJB4,up
SIPA1L2,up
ART3,up
PKNOX2,up
RACK1,up
PRKAR1A,up
PTPN20,up
SBDS,up
ZC2HC1A,up
ARL15,up
ASB15,up
C9orf72,up
LPCAT4,up
LGR4,up
MYL6,up
ACTB,up
LAPTM4A,up
AASS,up
NREP,up
RPS14,up
ACTG1,up
ZNF330,up
RPS8,up
NINL,up
ANKRD36B,up
UBC,up
LGALS3,up
S100A1,up
SLC4A7,up
CD81,up
GADD45G,up
PPDPF,up
WNT9A,up
JUNB,up
SPSB3,up
SLC38A2,up
CORIN,up
MTCH1,up
MAML3,up
CYP4V2,up
PNRC1,up
EIF1B,up
SCHIP1,up
NME3,up
HSPB3,up
LRP1,up
PDGFD,up
ITM2B,up
MAP1LC3A,up
FTL,up
ZNF608,up
MIR133A1HG,up
CRYAB,up
ADAMTS6,up
NR4A1,up
DOK6,up
ZFP36,up
BTG2,up
CCBE1,up
FOS,up
AC023494.1,up
EGR1,up
HS6ST3,down
LINC01428,down
TOGARAM2,down
UBA6-AS1,down
RMRP,down
KIF26B,down
ANKRD2,down
SLC35F1,down
FAM107A,down
SYNDIG1,down
KCNAB2,down
PVR,down
GALNT17,down
LINC01004,down
TMEM120B,down
SYNPO2L,down
RRP12,down
FILIP1L,down
SH2B3,down
MASP1,down
FLG-AS1,down
CPT1B,down
URB1,down
TNNI3,down
RCAN1,down
MYBPC3,down
NMRK2,down
SLC25A20,down
CCDC40,down
BCL2,down
ATXN7L1,down
BCAR1,down
SRSF6,down
C10orf71,down
AHDC1,down
PPP1R13L,down
PCNX4,down
MET,down
SLC2A12,down
CES2,down
SHROOM3,down
SLC15A4,down
INSR,down
NACC2,down
MYO18A,down
SCN5A,down
VIPR2,down
MACROD1,down
INPP4B,down
OGDH,down
SYNPO,down
SPG11,down
OBSCN,down
DUSP27,down
GRAMD4,down
ARIH2,down
GALNT18,down
NNT-AS1,down
GREB1L,down
ALPK3,down
MXRA7,down
SLC38A1,down
ZNF106,down
BACH1,down
WDR60,down
SLC1A3,down
COMMD1,down
CPED1,down
BSG,down
DDX5,down
DDX10,down
PDE10A,down
ST3GAL6,down
PSD3,down
TMEM38B,down
DST,down
NEBL,down
DPF3,down
CHCHD3,down
SCAF11,down
