p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,celltype,regulation
0,6.65261827614889,0.257,0.004,0,EGR1,Cardiomyocyte,UP
4.850938899562549e-303,4.28148992079054,0.195,0.014,1.4588228552632012e-298,ZFP36,Cardiomyocyte,UP
0,4.19784702443089,0.465,0.084,0,AC023494.1,Cardiomyocyte,UP
0,4.0603297907157,0.308,0.028,0,CCBE1,Cardiomyocyte,UP
0,3.99906182111701,0.408,0.058,0,FOS,Cardiomyocyte,UP
0,3.53278397407882,0.318,0.053,0,BTG2,Cardiomyocyte,UP
1.860920634036049e-273,3.42740948959795,0.286,0.045,5.596346622736617e-269,DOK6,Cardiomyocyte,UP
0,3.15859549069574,0.805,0.156,0,NR4A1,Cardiomyocyte,UP
3.7207862085741184e-196,2.89226615625349,0.261,0.05,1.1189520365044996e-191,ZNF608,Cardiomyocyte,UP
5.662626426599039e-142,2.65536381160095,0.232,0.055,1.7029216452711298e-137,PDGFD,Cardiomyocyte,UP
5.184642266237547e-245,2.47390178838792,0.363,0.078,1.5591774687256192e-240,ADAMTS6,Cardiomyocyte,UP
1.2088325623544394e-306,2.45912332164489,0.428,0.11,3.6353221647685177e-302,MTCH1,Cardiomyocyte,UP
1.2282426809639297e-155,2.45557966885292,0.234,0.05,3.693694214462839e-151,SCHIP1,Cardiomyocyte,UP
3.023485900192629e-168,2.45068520083044,0.229,0.043,9.092529147649297e-164,MAP1LC3A,Cardiomyocyte,UP
4.533186105217589e-64,2.42811321771497,0.149,0.05,1.3632650574220899e-59,FTL,Cardiomyocyte,UP
2.7812796731675183e-203,2.16846131301496,0.401,0.128,8.364142361116696e-199,EIF1B,Cardiomyocyte,UP
2.423876397969119e-100,2.1531155009277,0.376,0.188,7.289323491612539e-96,ITM2B,Cardiomyocyte,UP
2.033077334423699e-260,2.14496714203808,0.682,0.425,6.114073467812387e-256,CRYAB,Cardiomyocyte,UP
2.637209461065602e-301,2.12805657121286,0.625,0.305,7.930880024303755e-297,MIR133A1HG,Cardiomyocyte,UP
4.688869105174659e-71,2.09831910841307,0.146,0.045,1.41008360599917e-66,JUNB,Cardiomyocyte,UP
