"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Regulation","SYMBOL"
"1","GO:0000165",0.0188029593427709,0.993778401877717,8,678,"MAPK cascade","BP",1.17994100294985,"UP","CD81, CRYAB, PTEN, ZFP36, GADD45G, GAREM1, PDGFD, DOK6"
"2","GO:0000288",0.0443725945703217,0.995402197278979,2,68,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP",2.94117647058824,"UP","ZFP36, BTG2"
"3","GO:0000289",0.0113214711898903,0.999445031011668,2,34,"nuclear-transcribed mRNA poly(A) tail shortening","BP",5.88235294117647,"UP","ZFP36, BTG2"
"4","GO:0000302",0.0023598379110711,0.999670090224906,5,181,"response to reactive oxygen species","BP",2.76243093922652,"UP","CRYAB, FOS, RACK1, PDGFD, MAP1LC3A"
"5","GO:0000380",0.0416305901923274,0.995834924764398,2,67,"alternative mRNA splicing, via spliceosome","BP",2.98507462686567,"UP","RBFOX1, YTHDC1"
"6","GO:0000381",0.0238662338155084,0.998242606331129,2,50,"regulation of alternative mRNA splicing, via spliceosome","BP",4,"UP","RBFOX1, YTHDC1"
"7","GO:0000932",0.0124004761194074,0.998629830758282,3,96,"P-body","CC",3.125,"UP","ZFP36, PNRC1, C9orf72"
"8","GO:0000956",0.022717917991334,0.99684023291697,3,123,"nuclear-transcribed mRNA catabolic process","BP",2.4390243902439,"UP","ZFP36, BTG2, PNRC1"
"9","GO:0001216",0.0392179962289119,0.988988919942439,5,390,"DNA-binding transcription activator activity","MF",1.28205128205128,"UP","EGR1, FOS, NR4A1, HSF2, JUNB"
"10","GO:0001228",0.0377902934448215,0.989495030663606,5,386,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF",1.29533678756477,"UP","EGR1, FOS, NR4A1, HSF2, JUNB"
"11","GO:0001523",0.0459574922177892,0.995147362383663,2,67,"retinoid metabolic process","BP",2.98507462686567,"UP","LRP1, CYP4V2"
"12","GO:0001540",0.00849321270700354,0.999185497148876,3,83,"amyloid-beta binding","MF",3.6144578313253,"UP","CRYAB, LRP1, ITM2B"
"13","GO:0001568",0.00131137211783658,0.99966567807026,10,657,"blood vessel development","BP",1.5220700152207,"UP","ACTG1, EGR1, NR4A1, JUNB, LRP1, RORA, S100A1, ADAMTS6, PDGFD, CCBE1"
"14","GO:0001618",0.0485755297065775,0.994703822988002,2,73,"virus receptor activity","MF",2.73972602739726,"UP","CD81, CD46"
"15","GO:0001666",0.044277780183935,0.989305497368957,4,271,"response to hypoxia","BP",1.4760147601476,"UP","CRYAB, EGR1, FOS, RORA"
"16","GO:0001771",0.00213147028628953,0.999958740904272,2,14,"immunological synapse formation","BP",14.2857142857143,"UP","CD81, LGALS3"
"17","GO:0001772",0.00149076404688502,0.999924571832373,3,45,"immunological synapse","CC",6.66666666666667,"UP","CD81, LGALS3, PRKAR1A"
"18","GO:0001775",0.00362229787271963,0.998805191765031,12,991,"cell activation","BP",1.2108980827447,"UP","ACTB, ACTG1, CD81, EGR1, JUNB, LGALS3, LRP1, CD46, PIK3R1, PRKAR1A, RORA, METAP1"
"19","GO:0001816",0.0226412753514032,0.99224579789373,8,697,"cytokine production","BP",1.14777618364419,"UP","CD81, EGR1, CD46, PIK3R1, RORA, ZFP36, LGR4, CCBE1"
"20","GO:0001817",0.0206332016593582,0.993054745702027,8,685,"regulation of cytokine production","BP",1.16788321167883,"UP","CD81, EGR1, CD46, PIK3R1, RORA, ZFP36, LGR4, CCBE1"
"21","GO:0001819",0.021018505907897,0.994176312693689,6,431,"positive regulation of cytokine production","BP",1.39211136890951,"UP","CD81, EGR1, CD46, PIK3R1, RORA, CCBE1"
"22","GO:0001895",0.0457645249901331,0.995177327663597,2,68,"retina homeostasis","BP",2.94117647058824,"UP","ACTB, ACTG1"
"23","GO:0001933",0.0439150583305803,0.989420715871148,4,271,"negative regulation of protein phosphorylation","BP",1.4760147601476,"UP","PRKAR1A, PTEN, RACK1, C9orf72"
