#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	48406694	222767041	89.3747	28.5135	30.2	57.3
2	1	243199373	55535882	236420217	97.2125	33.3902	30.2	57.5
3	1	198022430	45896692	193606738	97.7701	34.0857	30.3	58.9
4	1	191154276	46244491	186417347	97.5219	35.5516	30.3	58.6
5	1	180915260	41631774	176603609	97.6168	33.8073	30.3	58
6	1	171115067	39780076	166590054	97.3556	34.125	30.3	58.6
7	1	159138663	34321701	153509690	96.4629	31.6178	30.2	57.9
8	1	146364022	33687087	141476879	96.661	33.788	30.3	57.7
9	1	141213431	26513765	118349351	83.8088	27.4549	30.2	54.7
10	1	135534747	27872315	130128590	96.0112	30.1224	30.2	57.9
11	1	135006516	29254643	129357973	95.8161	31.8072	30.2	58.5
12	1	133851895	29320633	129333577	96.6244	32.1424	30.2	58.8
13	1	115169878	22654606	95139537	82.608	28.8666	30.3	59
14	1	107349540	19356142	87204542	81.2342	26.4571	30.2	57.9
15	1	102531392	17385095	80921704	78.9238	24.8859	30.2	56.1
16	1	90354753	15703529	76779238	84.9753	25.1941	30.1	50.7
17	1	81195210	12363491	75773806	93.323	22.2778	30.1	57.1
18	1	78077248	17532712	74270552	95.1244	32.9707	30.3	58.8
19	1	59128983	7085895	53399981	90.311	17.416	30	57.2
20	1	63025520	10929404	58421276	92.6946	25.4255	30.2	58.8
21	1	48129895	8058953	34615026	71.92	24.3572	30.2	56.5
22	1	51304566	5013581	33400781	65.1029	14.0952	30	55
X	1	155270560	38305684	150037803	96.6299	36.2366	30.3	57.1
Y	1	59373566	180071	2374469	3.9992	0.371674	29.9	16.1
MT	1	16569	84087	16569	100	733.079	29.8	55.1
GL000207.1	1	4262	3054	4242	99.5307	96.7403	29.9	53.4
GL000226.1	1	15008	500491	15008	100	4872.18	30.3	5.32
GL000229.1	1	19913	7340	19815	99.5079	51.4188	29.8	51.1
GL000231.1	1	27386	11582	27346	99.8539	62.1218	30.1	49.9
GL000210.1	1	27682	1180	21506	77.6895	6.06148	29.8	10.1
GL000239.1	1	33824	19959	33816	99.9763	84.2799	30.1	7.36
GL000235.1	1	34474	20213	34049	98.7672	86.5046	30.3	42.8
GL000201.1	1	36148	333	19172	53.0375	1.3302	29.8	0.937
GL000247.1	1	36422	8950	35722	98.0781	36.0224	30.2	9.19
GL000245.1	1	36651	21359	36413	99.3506	86.0256	30.3	2.23
GL000197.1	1	37175	3844	32400	87.1553	12.5994	29.2	8
GL000203.1	1	37498	6483	37368	99.6533	25.3834	30.4	23.1
GL000246.1	1	38154	7097	38152	99.9948	27.3912	30.1	18.9
GL000249.1	1	38502	3668	38044	98.8105	14.0492	30.1	1.82
GL000196.1	1	38914	4391	38582	99.1468	16.5373	30.2	2.54
GL000248.1	1	39786	2891	39482	99.2359	10.6942	30.1	16.2
GL000244.1	1	39929	11182	39110	97.9489	41.1941	30.3	2.98
GL000238.1	1	39939	4640	39529	98.9734	17.1135	30.2	13.2
GL000202.1	1	40103	1952	35905	89.532	7.13425	29.8	23.8
GL000234.1	1	40531	16722	40486	99.889	60.6985	30.2	52
GL000232.1	1	40652	18449	40645	99.9828	66.9853	30.3	47.4
GL000206.1	1	41001	1777	29177	71.1617	6.3795	30.2	1.51
GL000240.1	1	41933	15640	41858	99.8211	54.6936	30.2	27.3
GL000236.1	1	41934	6240	41412	98.7552	21.8147	30.2	8.98
GL000241.1	1	42152	23256	42152	100	80.9458	30.3	47.1
GL000243.1	1	43341	14575	43020	99.2594	48.6118	30.1	11.4
GL000242.1	1	43523	2458	40883	93.9342	8.24782	30	11.7
GL000230.1	1	43691	7765	42998	98.4139	26.0225	30.3	35.3
GL000237.1	1	45867	28919	45770	99.7885	90.9744	30	25.4
GL000233.1	1	45941	5727	45152	98.2826	18.1944	30.2	30.3
GL000204.1	1	81310	3042	69277	85.2011	5.47361	29.8	49.7
GL000198.1	1	90085	32213	89970	99.8723	52.115	30.3	21.6
GL000208.1	1	92689	49609	92501	99.7972	77.774	30.3	35.8
GL000191.1	1	106433	10876	103241	97.0009	15.0173	30.1	13.2
GL000227.1	1	128374	19539	125187	97.5174	22.349	30.2	5.05
GL000228.1	1	129120	20833	92216	71.4188	23.1583	30.2	10.6
GL000214.1	1	137718	295909	137531	99.8642	314.684	30	28.9
GL000221.1	1	155397	70213	154230	99.249	66.4061	30.3	9.59
GL000209.1	1	159169	8782	92335	58.0107	8.03109	30.2	7.87
GL000218.1	1	161147	48529	152832	94.8401	44.2813	30.2	31.1
GL000220.1	1	161802	1632997	158371	97.8795	1375.36	29.4	51.3
GL000213.1	1	164239	15001	155200	94.4964	13.3582	30.2	13.2
GL000211.1	1	166566	43167	164919	99.0112	38.1381	30.3	46.4
GL000199.1	1	169874	262715	168565	99.2294	225.157	30.3	6.53
GL000217.1	1	172149	78668	169754	98.6088	67.2065	30.3	17.5
GL000216.1	1	172294	47368	170591	99.0116	37.2675	29.9	33.7
GL000215.1	1	172545	14736	162553	94.209	12.4965	30.3	4.38
GL000205.1	1	174588	113012	174299	99.8345	94.7127	30.2	40.6
GL000219.1	1	179198	103071	155097	86.5506	82.3327	30.2	50.1
GL000224.1	1	179693	309289	178200	99.1691	251.756	29.9	26.6
GL000223.1	1	180455	24004	176955	98.0605	19.3612	30.1	1.7
GL000195.1	1	182896	158747	182860	99.9803	127.667	30.3	45.2
GL000212.1	1	186858	42946	178733	95.6518	33.6786	30.3	39.8
GL000222.1	1	186861	18504	176145	94.2653	14.5397	30.2	16.5
GL000200.1	1	187035	14954	179753	96.1066	11.729	30.3	0.0338
GL000193.1	1	189789	94737	187138	98.6032	73.5401	30.2	45.7
GL000194.1	1	191469	70468	188137	98.2598	54.2207	30.3	27.2
GL000225.1	1	211173	84426	209152	99.043	56.8721	30.1	38.2
GL000192.1	1	547496	114228	542635	99.1121	30.616	30.2	25.2
NC_007605	1	171823	29	125	0.0727493	0.00734477	18.1	8.14
