SYMBOL,Chromosome
ABCB7,chr-X
ALG13,chr-X
AMMECR1,chr-X
AP1S2,chr-X
APOOL,chr-X
AR,chr-X
ARHGAP6,chr-X
ARHGEF6,chr-X
ARHGEF9,chr-X
ASB11,chr-X
ATRX,chr-X
BCLAF3,chr-X
BGN,chr-X
BRWD3,chr-X
CA5B,chr-X
CASK,chr-X
CD99,chr-X
CD99L2,chr-X
CDKL5,chr-X
CHIC1,chr-X
CHM,chr-X
COL4A5,chr-X
COX7B,chr-X
CTPS2,chr-X
DDX3X,chr-X
DHRSX,chr-X
DIPK2B,chr-X
DMD,chr-X
DOCK11,chr-X
EIF1AX,chr-X
ENOX2,chr-X
F8,chr-X
FAM199X,chr-X
FHL1,chr-X
FLNA,chr-X
FTX,chr-X
GAB3,chr-X
GK,chr-X
HUWE1,chr-X
IDS,chr-X
IL13RA1,chr-X
IL1RAPL1,chr-X
IL1RAPL2,chr-X
ITM2A,chr-X
JPX,chr-X
KDM6A,chr-X
KLF8,chr-X
KLHL13,chr-X
LAMP2,chr-X
LINC01278,chr-X
MAGED1,chr-X
MAMLD1,chr-X
MAOB,chr-X
MED14,chr-X
MID1,chr-X
MORF4L2,chr-X
MXRA5,chr-X
NBDY,chr-X
NDUFA1,chr-X
NDUFB11,chr-X
NHSL2,chr-X
NRK,chr-X
OGT,chr-X
OPHN1,chr-X
PCDH11Y,chr-Y
PDHA1,chr-X
PHKA1,chr-X
PIR,chr-X
PLS3,chr-X
POLA1,chr-X
PRKX,chr-X
PRRG1,chr-X
RGN,chr-X
RPL10,chr-X
RPL36A,chr-X
RPL39,chr-X
RPS4X,chr-X
RPS6KA3,chr-X
RRAGB,chr-X
RTL8C,chr-X
SAT1,chr-X
SH3BGRL,chr-X
SH3KBP1,chr-X
SHROOM4,chr-X
SMARCA1,chr-X
SMPX,chr-X
SRPX,chr-X
SRPX2,chr-X
SSR4,chr-X
STAG2,chr-X
STARD8,chr-X
SYTL4,chr-X
THOC2,chr-X
TIMP1,chr-X
TMLHE-AS1,chr-X
TMSB4X,chr-X
TSIX,chr-X
TSPAN7,chr-X
UBE2A,chr-X
USP9X,chr-X
WWC3,chr-X
XIST,chr-X
YIPF6,chr-X
ZFX,chr-X
ZFY,chr-Y
ZMAT1,chr-X
ZNF81,chr-X
ACSL4,chr-X
AIFM1,chr-X
ALG13-AS1,chr-X
ARL13A,chr-X
ARMCX4,chr-X
ARMCX5,chr-X
ARMCX5-GPRASP2,chr-X
ARR3,chr-X
ATG4A,chr-X
ATP11C,chr-X
ATP6AP1,chr-X
ATP6AP2,chr-X
AVPR2,chr-X
BCAP31,chr-X
BCOR,chr-X
BEX2,chr-X
BEX3,chr-X
BMX,chr-X
BRCC3,chr-X
CDK16,chr-X
CHRDL1,chr-X
CHST7,chr-X
CLDN2,chr-X
CLIC2,chr-X
CNKSR2,chr-X
CSF2RA,chr-X
DLG3,chr-X
DNASE1L1,chr-X
EDA2R,chr-X
EGFL6,chr-X
EIF2S3,chr-X
FAM133A,chr-X
FGF16,chr-X
FMR1,chr-X
FMR1-IT1,chr-X
FUNDC1,chr-X
FUNDC2,chr-X
GDI1,chr-X
GK-AS1,chr-X
GNL3L,chr-X
GPM6B,chr-X
GUCY2F,chr-X
HCCS,chr-X
HDAC8,chr-X
HDX,chr-X
HMGB3,chr-X
HMGN5,chr-X
HSD17B10,chr-X
HTR2C,chr-X
IDH3G,chr-X
IGBP1-AS2,chr-X
INTS6L,chr-X
JADE3,chr-X
KANTR,chr-X
KLHL34,chr-X
KLHL4,chr-X
LAGE3,chr-X
LINC00630,chr-X
LINC00632,chr-X
LONRF3,chr-X
LPAR4,chr-X
MAGED2,chr-X
MAGEH1,chr-X
MAOA,chr-X
MBNL3,chr-X
MECP2,chr-X
MED14OS,chr-X
MID2,chr-X
MOSPD2,chr-X
MSN,chr-X
MTCP1,chr-X
MTMR1,chr-X
NAP1L3,chr-X
NLGN4X,chr-X
NLGN4Y,chr-Y
NONO,chr-X
