NOX4	NM_001291929	166388	4121
C14orf166	NM_016039	15193	1051
MCM5	NM_006739	24380	2546
FAXDC2	NM_032385	32162	2997
IFITM3	NM_021034	1242	668
MAGEE1	NM_020932	3701	3701
LRRC4C	NM_020929	1345436	2624
RPL36A	NM_021029	5265	881
EEF1D	NM_032378	17979	2498
DPY19L2P1	NR_002833	104876	2814
BDNF-AS	NR_002832	170952	2320
HERC2P2	NR_002824	95995	6075
SULT2A1	NM_003167	15932	1987
RPS6KA1	NM_002953	45272	3199
CAV3	NM_001234	12966	1335
CAV2	NM_001233	8941	3090
RPS2	NM_002952	2766	942
MBNL3	NM_001170701	44261	11332
CELSR3	NM_001407	26453	11962
FOXN1	NM_003593	14217	2697
COL6A3	NM_004369	90196	10581
GSTA3	NM_000847	13058	913
TNP2	NM_005425	1447	597
TECTA	NM_005422	88141	6468
SNAR-F	NR_004384	123	123
SNAR-G1	NR_004383	128	128
SNORD105	NR_004381	85	85
SNORD104	NR_004380	80	80
SNORD96B	NR_004379	72	72
SNORD94	NR_004378	137	137
RDH10	NM_172037	30684	3963
ZNF501	NM_145044	7478	3089
ALOX12-AS1	NR_040089	27212	651
RHOH	NM_001278366	51798	2045
ISLR2	NM_001130138	6554	4261
ERAP2	NM_001130140	43763	5253
DISC1	NM_001164555	123805	1794
C16orf89	NM_001098514	22024	1549
ZCCHC3	NM_033089	2760	2760
NUF2	NM_031423	33831	1843
DCUN1D5	NM_032299	41532	12732
C9orf64	NM_032307	18437	2473
GARNL3	NM_032293	129073	3738
CDC7	NM_001134419	24918	3185
ATP2C2	NM_001291454	57600	2969
IFNGR1	NM_000416	21947	2120
SOX12	NM_006943	4658	4658
MS4A2	NM_000139	9804	3648
PRDM13	NM_021620	8805	3204
CASP8	NM_033356	27212	2652
MIR548W	NR_036146	469877	72
MIR3179-3	NR_036145	84	84
PMM2	NM_000303	51525	2323
PHKB	NM_000293	240225	5491
RBM19	NM_001146698	144318	3635
GLDC	NM_000170	113229	3809
KCNMB3	NM_001163677	27302	1109
BEX5	NM_001159560	2084	861
IVD	NM_001159508	15827	4575
XPNPEP1	NM_001167604	58788	2467
BANP	NM_001173542	117448	2375
SERPINA1	NM_001127704	13946	3492
HSFX2	NM_001164415	2799	1962
NCOA7	NM_001199621	141268	6203
ETV1	NM_001163151	95284	6233
ETV1	NM_001163150	95284	6287
NREP	NM_001142477	28794	2092
NREP	NM_001142475	247629	2149
DPH6	NM_001141972	25931	2380
BCAP31	NM_001139457	23610	1824
TPTE2	NM_001141968	113885	1822
AP2B1	NM_001282	139155	5721
IMPA1	NM_005536	29439	3396
CDK13	NM_003718	146775	6975
AZIN2	NM_001301823	39403	2007
CRYBB1	NM_001887	18630	921
AGAP1	NM_014914	637712	10691
ASXL2	NM_018263	139060	7174
JRKL	NM_001261833	3570	3161
MOCS2	NM_176806	14094	3720
RTP5	NM_173821	3597	1798
OVOL2	NM_001303461	35037	1511
LILRA6	NM_024318	3782	1447
NXNL2	NM_145283	40689	1461
MOB3C	NM_145279	7419	2804
B3GALNT1	NM_033168	21490	3223
B3GALNT1	NM_033167	21490	3437
MFSD1	NM_022736	27794	2362
MAP3K13	NM_001242314	206154	9830
FAM124A	NM_001242312	61908	4794
KLHL7	NM_018846	69122	3259
MRGPRX4	NM_054032	1444	1444
HSFY2	NM_153716	1921	1443
SYTL5	NM_138780	122239	4726
LOC284865	NR_038460	6189	2227
TOB1-AS1	NR_038458	1693	1415
LINC01592	NR_039986	192388	2367
SYNJ2-IT1	NR_046796	1277	599
RPS6KA2-IT1	NR_046793	4721	579
FAM212B-AS1	NR_038951	7958	2131
LARGE-AS1	NR_038949	25832	2746
MIR4503	NR_039725	83	83
C6orf89	NM_152734	43101	6751
BTBD9	NM_152733	427617	8486
SFTPB	NM_198843	11425	2840
TEKT5	NM_144674	67442	1609
ARNTL	NM_001297724	109539	2858
HFE	NM_139009	7961	2153
ZBTB9	NM_152735	2965	2711
F2	NM_000506	20314	2010
CFTR	NM_000492	188702	6131
TRPM6	NM_001177310	165226	8244
ATP6V0C	NM_001198569	6498	1021
SIGLEC9	NM_001198558	11384	1600
CDC42BPA	NM_014826	328261	10263
EML1	NM_004434	148651	4463
RQCD1	NM_005444	27856	3434
MIR4481	NR_039701	60	60
MIR3670-1	NR_037442	65	65
PLTP	NM_006227	13745	2100
FAM212B	NM_019099	17361	5980
OBSL1	NM_015311	20819	6112
SMG9	NM_019108	23842	2353
NEUROD6	NM_022728	3464	2161
GULP1	NM_001252669	304257	3189
PTCH2	NM_001166292	23101	4298
COLCA1	NM_001302646	5865	5537
FAM111B	NM_001142704	20231	3349
DAZL	NM_001351	18706	3048
VRK3	NM_016440	49082	2100
