#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	76158499	223870764	89.8175	44.0686	30.7	57
2	1	243199373	80075506	236845349	97.3873	47.3549	30.7	57.4
3	1	198022430	60268363	192761381	97.3432	43.951	30.7	58.7
4	1	191154276	57000644	185333033	96.9547	43.0293	30.8	58.2
5	1	180915260	57575776	176382821	97.4947	45.9449	30.7	58
6	1	171115067	56636182	166459642	97.2794	47.752	30.7	58.5
7	1	159138663	48710309	153972891	96.7539	44.1051	30.7	57.6
8	1	146364022	42729072	140853940	96.2354	42.0885	30.7	57.9
9	1	141213431	40186854	119238751	84.4387	40.9934	30.7	55
10	1	135534747	41383448	130247323	96.0988	43.9895	30.7	57.8
11	1	135006516	40238399	129391779	95.8411	42.9914	30.7	58.4
12	1	133851895	41591634	129510271	96.7564	44.8085	30.7	58.7
13	1	115169878	31046333	95053319	82.5331	38.8827	30.8	58.8
14	1	107349540	27671017	87427858	81.4422	37.1504	30.7	58.1
15	1	102531392	27942578	81336788	79.3287	39.3341	30.7	56.6
16	1	90354753	27614994	77864598	86.1765	43.4709	30.6	50.6
17	1	81195210	24047257	77247748	95.1383	42.6621	30.6	57.5
18	1	78077248	23009091	73896022	94.6448	42.531	30.7	58.7
19	1	59128983	14211824	54937874	92.9119	34.3788	30.5	57.5
20	1	63025520	20953389	59156823	93.8617	47.9488	30.7	58.9
21	1	48129895	12074085	34895852	72.5035	36.045	30.7	56.7
22	1	51304566	11074425	34587730	67.4165	30.9142	30.6	56.1
X	1	155270560	52700056	149986740	96.597	48.9326	30.7	56.7
Y	1	59373566	241416	2894353	4.87482	0.50848	30.5	13.2
MT	1	16569	13160766	16569	100	109239	30.4	53.1
GL000207.1	1	4262	8079	4233	99.3196	251.357	30.6	56
GL000226.1	1	15008	215993	15008	100	2040.16	30.8	3.61
GL000229.1	1	19913	9578	19888	99.8745	67.8823	30.3	49.1
GL000231.1	1	27386	18792	27369	99.9379	99.0686	30.5	48
GL000210.1	1	27682	2417	25498	92.1104	12.2706	30.6	11.7
GL000239.1	1	33824	32136	33824	100	133.964	30.6	5.47
GL000235.1	1	34474	28403	34422	99.8492	119.569	30.8	41.8
GL000201.1	1	36148	973	28445	78.6904	3.81072	30.3	3.29
GL000247.1	1	36422	12323	36138	99.2203	48.6835	30.7	8.51
GL000245.1	1	36651	19700	36643	99.9782	77.8807	30.8	4.66
GL000197.1	1	37175	9523	30336	81.6032	30.2966	29.9	9.26
GL000203.1	1	37498	4878	36559	97.4959	18.6911	30.9	25
GL000246.1	1	38154	8446	38006	99.6121	31.9446	30.7	14.4
GL000249.1	1	38502	6358	38377	99.6753	23.9228	30.6	1.44
GL000196.1	1	38914	6989	37547	96.4871	25.9595	30.8	6.35
GL000248.1	1	39786	7691	39264	98.688	27.6375	30.6	8.62
GL000244.1	1	39929	6524	37827	94.7357	23.4279	30.8	1.98
GL000238.1	1	39939	6465	38562	96.5522	23.4041	30.8	10.9
GL000202.1	1	40103	5395	38402	95.7584	19.4268	30.5	31.9
GL000234.1	1	40531	29157	40527	99.9901	103.969	30.7	49.7
GL000232.1	1	40652	32237	40644	99.9803	115.365	30.8	45.2
GL000206.1	1	41001	2419	35617	86.8686	8.42675	30.6	2.96
GL000240.1	1	41933	14968	41842	99.783	51.1953	30.7	23.9
GL000236.1	1	41934	8134	41719	99.4873	27.9889	30.7	8.98
GL000241.1	1	42152	34770	42152	100	119.267	30.8	46.6
GL000243.1	1	43341	27215	42970	99.144	87.7606	30.5	8.76
GL000242.1	1	43523	5540	42380	97.3738	18.3821	30.6	10.6
GL000230.1	1	43691	16594	43643	99.8901	54.0936	30.8	35.8
GL000237.1	1	45867	43453	45866	99.9978	134.029	30.5	24.2
GL000233.1	1	45941	17027	45939	99.9956	53.3888	30.7	31.7
GL000204.1	1	81310	17188	78826	96.945	30.1695	30.3	49.9
