bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	bin.length	mappable.positions	gc.content
chr1	0	0	1220703	1220703	415662	0.496620169246
chr1	1220703	1220703	1797891	577188	415662	0.55923969445
chr1	1797891	1797891	2264710	466819	415662	0.571050940405
chr1	2264710	2264710	2803442	538732	415662	0.591742321472
chr1	2803442	2803442	3234398	430956	415662	0.567191158283
chr1	3234398	3234398	3667288	432890	415662	0.58947864474
chr1	3667288	3667288	4280949	613661	415662	0.503138061778
chr1	4280949	4280949	4723564	442615	415662	0.474980570065
chr1	4723564	4723564	5171296	447732	415662	0.459613206978
chr1	5171296	5171296	5610277	438981	415662	0.46407597578
chr1	5610277	5610277	6054843	444566	415663	0.495603587311
chr1	6054843	6054843	6527872	473029	415662	0.554284083462
chr1	6527872	6527872	6999839	471967	415662	0.482672554071
chr1	6999839	6999839	7442319	442480	415662	0.467606518698
chr1	7442319	7442319	7894751	452432	415662	0.499353495435
chr1	7894751	7894751	8385596	490845	415662	0.454975695025
chr1	8385596	8385596	8851842	466246	415662	0.425416142088
chr1	8851842	8851842	9343579	491737	415662	0.488508107976
chr1	9343579	9343579	9833438	489859	415662	0.510331523292
chr1	9833438	9833438	10348894	515456	415662	0.459262363301
chr1	10348894	10348894	10815034	466140	415662	0.484608734267
chr1	10815034	10815034	11295485	480451	415663	0.490796166943
chr1	11295485	11295485	11762931	467446	415662	0.510188320815
chr1	11762931	11762931	12245176	482245	415662	0.517827001157
chr1	12245176	12245176	12704857	459681	415662	0.456184927841
chr1	12704857	12704857	14039149	1334292	415662	0.457968972743
chr1	14039149	14039149	14488493	449344	415662	0.432734313278
chr1	14488493	14488493	14942721	454228	415662	0.428079228759
chr1	14942721	14942721	15394042	451321	415662	0.489998271744
chr1	15394042	15394042	15859757	465715	415662	0.486319989006
chr1	15859757	15859757	16356447	496690	415662	0.48112609248
chr1	16356447	16356447	16916665	560218	415662	0.499263680811
chr1	16916665	16916665	17594135	677470	415663	0.4982158538
chr1	17594135	17594135	18066631	472496	415662	0.516187404364
chr1	18066631	18066631	18503205	436574	415662	0.489572238447
chr1	18503205	18503205	18939636	436431	415662	0.485010265058
chr1	18939636	18939636	19380644	441008	415662	0.507254953981
chr1	19380644	19380644	19833715	453071	415662	0.47871861426
chr1	19833715	19833715	20309164	475449	415662	0.465975391734
chr1	20309164	20309164	20765083	455919	415662	0.471499385857
chr1	20765083	20765083	21239563	474480	415662	0.465236753421
