Gene stable ID,Chromosome/scaffold name,Gene name
ENSG00000261657,HG991_PATCH,SLC25A26
ENSG00000232849,13,LINC00363
ENSG00000229558,13,SACS-AS1
ENSG00000232977,13,LINC00327
ENSG00000227640,13,SOX21-AS1
ENSG00000223392,13,CLDN10-AS1
ENSG00000227213,13,SPATA13-AS1
ENSG00000231194,13,FARP1-AS1
ENSG00000224418,13,STK24-AS1
ENSG00000238169,13,LINC01053
ENSG00000261530,HG706_PATCH,BTC
ENSG00000221324,13,AL590787.1
ENSG00000228889,13,UBAC2-AS1
ENSG00000203441,13,LINC00449
ENSG00000237001,13,WASF3-AS1
ENSG00000232162,13,USP12-AS1
ENSG00000230641,13,USP12-AS2
ENSG00000234772,13,LINC00412
ENSG00000261125,HG185_PATCH,HAP1
ENSG00000234650,13,PCCA-AS1
ENSG00000261485,13,PAN3-AS1
ENSG00000233009,13,NALCN-AS1
ENSG00000236758,13,MTUS2-AS2
ENSG00000179141,13,MTUS2-AS1
ENSG00000243319,13,FGF14-IT1
ENSG00000122043,13,LINC00544
ENSG00000272143,13,FGF14-AS2
ENSG00000224511,13,LINC00365
ENSG00000232117,13,LINC00384
ENSG00000238121,13,LINC00426
ENSG00000226620,13,LINC00343
ENSG00000225039,13,LINC01058
ENSG00000261577,HG185_PATCH,JUP
ENSG00000272274,13,LINC00551
ENSG00000237879,13,LINC00398
ENSG00000224743,13,TEX26-AS1
ENSG00000227248,13,FAM155A-IT1
ENSG00000236242,13,MYO16-AS1
ENSG00000223617,13,LINC00370
ENSG00000255813,13,AL162497.1
ENSG00000224821,13,COL4A2-AS2
ENSG00000237637,13,FRY-AS1
ENSG00000232814,13,COL4A2-AS1
ENSG00000255831,13,AL139385.1
ENSG00000229152,13,ANKRD10-IT1
ENSG00000235875,13,ARHGEF7-AS2
ENSG00000233644,13,ARHGEF7-IT1
ENSG00000230300,13,STARD13-IT1
ENSG00000261258,HG185_PATCH,FKBP10
ENSG00000226903,13,LINC00354
ENSG00000224924,21,LINC00320
ENSG00000198434,21,AF241725.1
ENSG00000223626,13,LINC01044
ENSG00000232684,13,ATP11A-AS1
ENSG00000234603,13,AL356740.1
ENSG00000236581,13,STARD13-AS
ENSG00000235280,13,MCF2L-AS1
ENSG00000225083,13,GRTP1-AS1
ENSG00000233613,13,DCUN1D2-AS
ENSG00000233695,13,GAS6-AS1
ENSG00000264288,13,AL138999.1
ENSG00000260753,HG185_PATCH,NT5C3B
ENSG00000263663,13,AL161891.1
ENSG00000225179,13,LINC00457
ENSG00000260910,13,LINC00565
ENSG00000232487,13,RASA3-IT1
ENSG00000221519,13,AL390071.1
ENSG00000261631,HG185_PATCH,KLHL10
ENSG00000259896,HG185_PATCH,KLHL11
ENSG00000223685,13,LINC00571
ENSG00000229437,13,LINC00366
ENSG00000138593,15,SECISBP2L
ENSG00000215483,13,LINC00598
ENSG00000166157,21,TPTE
ENSG00000260245,HG185_PATCH,ACLY
ENSG00000226996,21,AP000477.3
ENSG00000260703,HG185_PATCH,TTC25
ENSG00000271216,13,LINC01050
ENSG00000252846,18,AC090206.1
ENSG00000260283,HG185_PATCH,CNP
ENSG00000260372,18,AQP4-AS1
ENSG00000168675,18,LDLRAD4
ENSG00000226519,13,LINC00390
ENSG00000227258,13,SMIM2-AS1
ENSG00000262684,HG185_PATCH,DNAJC7
ENSG00000188992,21,LIPI
ENSG00000237585,13,LINC00407
ENSG00000235097,13,LINC00330
ENSG00000221163,13,AL138963.1
ENSG00000185272,21,RBM11
ENSG00000260770,HG185_PATCH,NKIRAS2
ENSG00000170919,13,TPT1-AS1
ENSG00000155304,21,HSPA13
ENSG00000260320,HG185_PATCH,ZNF385C
ENSG00000251015,13,SLC25A30-AS1
ENSG00000235366,13,LINC01055
ENSG00000260178,HG185_PATCH,DHX58
ENSG00000235903,13,CPB2-AS1
ENSG00000166200,15,COPS2
ENSG00000155307,21,SAMSN1
ENSG00000259958,HG185_PATCH,KAT2A
ENSG00000261378,HG185_PATCH,RAB5C
ENSG00000153575,15,TUBGCP5
ENSG00000260388,13,LINC00562
ENSG00000229111,13,MED4-AS1
ENSG00000233456,13,LINC01077
ENSG00000180530,21,NRIP1
ENSG00000265585,13,AL161421.1
ENSG00000137824,15,RMDN3
ENSG00000261371,HG183_PATCH,PECAM1
ENSG00000231607,13,DLEU2
ENSG00000185433,21,LINC00158
ENSG00000234883,21,MIR155HG
ENSG00000263304,HG183_PATCH,MILR1
ENSG00000137880,15,GCHFR
ENSG00000233672,13,RNASEH2B-AS1
ENSG00000265063,18,AC009831.1
ENSG00000262917,HG183_PATCH,POLG2
ENSG00000104129,15,DNAJC17
ENSG00000221621,18,AC009835.1
ENSG00000177150,18,FAM210A
ENSG00000155313,21,USP25
ENSG00000263077,HG183_PATCH,DDX5
ENSG00000101638,18,ST8SIA5
ENSG00000236778,13,INTS6-AS1
ENSG00000263046,HG183_PATCH,CEP95
ENSG00000154639,21,CXADR
ENSG00000101654,18,RNMT
ENSG00000261074,HG998_1_PATCH,QSOX2
ENSG00000078043,18,PIAS2
ENSG00000156958,15,GALK2
ENSG00000154640,21,BTG3
ENSG00000188277,15,C15orf62
ENSG00000225298,21,LINC00113
ENSG00000260587,HG186_PATCH,DOCK3
ENSG00000178457,21,LINC00314
ENSG00000259880,HG186_PATCH,MANF
ENSG00000140416,15,TPM1
ENSG00000259956,HG186_PATCH,RBM15B
ENSG00000180205,20,WFDC9
ENSG00000154642,21,C21orf91
ENSG00000247556,15,OIP5-AS1
ENSG00000260383,HG243_PATCH,MROH1
ENSG00000221409,18,AC068506.1
ENSG00000140577,15,CRTC3
ENSG00000261236,HG243_PATCH,BOP1
ENSG00000166140,15,ZFYVE19
ENSG00000101138,20,CSTF1
ENSG00000154645,21,CHODL
ENSG00000235660,13,LINC00345
ENSG00000068793,15,CYFIP1
ENSG00000180083,20,WFDC11
ENSG00000182931,20,WFDC10B
ENSG00000154646,21,TMPRSS15
ENSG00000261132,HG243_PATCH,HSF1
ENSG00000267586,18,LINC00907
ENSG00000261443,HG186_PATCH,RAD54L2
ENSG00000101365,20,IDH3B
ENSG00000167216,18,KATNAL2
ENSG00000124116,20,WFDC3
ENSG00000237092,13,LINC01065
ENSG00000087589,20,CASS4
ENSG00000261517,13,LINC00558
ENSG00000154654,21,NCAM2
ENSG00000166143,15,PPP1R14D
ENSG00000232954,13,LINC00374
ENSG00000261698,HG243_PATCH,DGAT1
ENSG00000166262,15,FAM227B
ENSG00000215533,21,LINC00189
ENSG00000227528,13,DIAPH3-AS1
ENSG00000225249,13,LINC00378
ENSG00000185231,18,MC2R
ENSG00000103642,15,LACTB
ENSG00000237159,9,CNTFR-AS1
ENSG00000248476,21,BACH1-IT1
ENSG00000197299,15,BLM
ENSG00000230142,13,LINC01075
ENSG00000154719,21,MRPL39
ENSG00000261678,HG243_PATCH,SCRT1
ENSG00000228669,13,LINC00448
ENSG00000227564,13,LINC00376
ENSG00000175322,18,ZNF519
ENSG00000231061,13,LINC00395
ENSG00000101160,20,CTSZ
ENSG00000228705,20,LINC00659
ENSG00000261587,HG243_PATCH,TMEM249
ENSG00000232118,21,BACH1-AS1
ENSG00000228817,21,BACH1-IT2
ENSG00000234293,21,BACH1-IT3
ENSG00000166145,15,SPINT1
ENSG00000227674,13,LINC00355
ENSG00000174680,21,GRIK1-AS1
ENSG00000231133,20,HAR1B
ENSG00000180725,15,AC015871.1
ENSG00000225978,20,HAR1A
ENSG00000234767,13,LINC01052
ENSG00000088881,20,EBF4
ENSG00000259361,15,LINC00927
ENSG00000234527,13,PCDH9-AS1
ENSG00000228842,13,PCDH9-AS2
ENSG00000225263,13,PCDH9-AS3
ENSG00000233840,13,PCDH9-AS4
ENSG00000230040,13,LINC00364
ENSG00000269900,9,RMRP
ENSG00000140285,15,FGF7
ENSG00000183206,18,POTEC
ENSG00000263448,9,AL133410.1
ENSG00000101457,20,DNTTIP1
ENSG00000154721,21,JAM2
ENSG00000261042,HG243_PATCH,SLC52A2
ENSG00000270408,20,JAG1
ENSG00000185088,15,RPS27L
ENSG00000237534,13,LINC00383
ENSG00000149656,20,LINC00266-1
ENSG00000226846,13,LINC00348
ENSG00000228422,20,LINC00687
ENSG00000166128,15,RAB8B
ENSG00000175063,20,UBE2C
ENSG00000124091,20,GCNT7
ENSG00000261539,HG243_PATCH,FBXL6
ENSG00000226263,20,ISM1-AS1
ENSG00000167220,18,HDHD2
ENSG00000224853,13,LINC00393
ENSG00000228295,13,LINC00392
ENSG00000235532,13,LINC00402
ENSG00000171448,9,ZBTB26
ENSG00000124103,20,FAM209A
ENSG00000226240,13,LINC00381
ENSG00000104047,15,DTWD1
ENSG00000088882,20,CPXM1
ENSG00000235914,20,MACROD2-AS1
ENSG00000213714,20,FAM209B
ENSG00000104140,15,RHOV
ENSG00000140564,15,FURIN
ENSG00000140157,15,NIPA2
ENSG00000267228,18,IER3IP1
ENSG00000261694,HG243_PATCH,ADCK5
ENSG00000204860,9,FAM201A
ENSG00000221220,20,AL035045.1
ENSG00000154727,21,GABPA
ENSG00000087510,20,TFAP2C
ENSG00000264908,13,AC000403.1
ENSG00000124203,20,ZNF831
ENSG00000101470,20,TNNC2
ENSG00000234509,21,AP000253.1
ENSG00000104142,15,VPS18
ENSG00000138613,15,APH1B
ENSG00000236051,13,MYCBP2-AS1
ENSG00000229521,13,MYCBP2-AS2
ENSG00000011454,9,RABGAP1
ENSG00000134049,18,IER3IP1
